Rep,N,Crate,Model,SE1,SE2,SE3,nu
44,25,0.0,MVTC,0.47704362810034,0.302929699362693,0.276611291310789,4
44,25,0.0,MSLC,0.486283801988464,0.325481466566328,0.289066747342615,4
45,25,0.0,MVN,0.697447483913741,0.555463152926358,0.381695809282394,4
45,25,0.0,MVT,0.696601158063759,0.555387204689224,0.382023789343148,4
45,25,0.0,MSL,0.697190501838877,0.555485325637059,0.38183917643551,4
45,25,0.0,MVNC,0.697447483913741,0.555463152926357,0.381695809282394,4
45,25,0.0,MVTC,0.696601158722047,0.555387204770159,0.382023789113063,4
45,25,0.0,MSLC,0.675941401902689,0.551876454894031,0.386325150209244,4
46,25,0.0,MVN,0.549013920269213,0.470469023180345,0.378491805084486,4
46,25,0.0,MVT,0.554893173253171,0.468858341621357,0.379849000349086,4
46,25,0.0,MSL,0.556114111494065,0.46624412060722,0.381039838815846,4
46,25,0.0,MVNC,0.549013920269213,0.470469023180345,0.378491805084486,4
46,25,0.0,MVTC,0.554893173164806,0.468858341525758,0.379849000279647,4
46,25,0.0,MSLC,0.570230421460764,0.461981596003676,0.384532008854931,4
47,25,0.0,MVN,0.627665111599886,0.541092284578114,0.416581175713098,4
47,25,0.0,MVT,0.62766531976232,0.541092434086304,0.41658126859546,4
47,25,0.0,MSL,0.627848405429079,0.541234686553231,0.41667848978025,4
47,25,0.0,MVNC,0.627665111599886,0.541092284578113,0.416581175713098,4
47,25,0.0,MVTC,0.62766549215476,0.541092579096178,0.416581375913712,4
47,25,0.0,MSLC,0.65295949274032,0.560120266118011,0.429503862820847,4
48,25,0.0,MVN,0.524433820546104,0.395180298110044,0.360891321961878,4
48,25,0.0,MVT,0.524462318879525,0.395320947853492,0.360899237971571,4
48,25,0.0,MSL,0.524509057034815,0.395423396702398,0.36093706289516,4
48,25,0.0,MVNC,0.524433820546104,0.395180298110044,0.360891321961879,4
48,25,0.0,MVTC,0.524462318854245,0.395320947674873,0.360899237969668,4
48,25,0.0,MSLC,0.525001515500707,0.399171083592656,0.361667785248037,4
49,25,0.0,MVN,0.663481898711745,0.570321516980119,0.3546952558656,4
49,25,0.0,MVT,0.662298538329127,0.570248934837929,0.354853902981358,4
49,25,0.0,MSL,0.65917263505552,0.56870835532307,0.354333412408214,4
49,25,0.0,MVNC,0.663481898711745,0.570321516980119,0.3546952558656,4
49,25,0.0,MVTC,0.662237403130864,0.570245117405589,0.354861909313183,4
49,25,0.0,MSLC,0.600973494248684,0.556824202525324,0.355614861146585,4
50,25,0.0,MVN,0.496063906116265,0.406836583133128,0.307876486506881,4
50,25,0.0,MVT,0.474085827275822,0.365837371718651,0.235093594915719,4
50,25,0.0,MSL,0.477812415115927,0.379507942889077,0.235617966512041,4
50,25,0.0,MVNC,0.496063906116265,0.406836583133128,0.307876486506881,4
50,25,0.0,MVTC,0.474085827243096,0.36583737162855,0.235093594838168,4
50,25,0.0,MSLC,0.488228330871099,0.394604432556848,0.25275425938164,4
51,25,0.0,MVN,0.498656669055125,0.427444500115696,0.332013289662746,4
51,25,0.0,MVT,0.498656072031614,0.427444355350379,0.332013203125297,4
51,25,0.0,MSL,0.498563271240163,0.427499120879939,0.332065187644138,4
51,25,0.0,MVNC,0.498656669055125,0.427444500115696,0.332013289662746,4
51,25,0.0,MVTC,0.498656476853649,0.427444589238169,0.332013385232368,4
51,25,0.0,MSLC,0.489353182983781,0.429265320315995,0.333457494484143,4
52,25,0.0,MVN,0.501047217685655,0.447930229968515,0.323397955223617,4
52,25,0.0,MVT,0.501049614297114,0.44793171866985,0.323398760247137,4
52,25,0.0,MSL,0.501537169234127,0.448268700534914,0.323588437996029,4
52,25,0.0,MVNC,0.501047217685655,0.447930229968515,0.323397955223617,4
52,25,0.0,MVTC,0.501047452447978,0.447930375794049,0.32339803407614,4
