Rep,N,Crate,Model,LogLik,AIC,BIC,nu
34,25,0.0,MVN,-128.709818750981,275.419637501962,286.389519925776,10
34,25,0.0,MVT,-128.709861225413,277.419722450826,289.608480699508,10
34,25,0.0,MSL,-128.721776971154,277.443553942308,289.63231219099,10
34,25,0.0,MVNC,-128.709818750981,275.419637501962,286.389519925776,10
34,25,0.0,MVTC,-128.710185138941,277.420370277882,289.609128526564,10
34,25,0.0,MSLC,-128.923843613745,277.847687227491,290.036445476173,10
35,25,0.0,MVN,-116.571824278428,251.143648556856,262.11353098067,10
35,25,0.0,MVT,-116.575297235165,253.150594470329,265.339352719011,10
35,25,0.0,MSL,-116.578018867123,253.156037734247,265.344795982929,10
35,25,0.0,MVNC,-116.571824278428,251.143648556856,262.11353098067,10
35,25,0.0,MVTC,-116.572024662741,253.144049325482,265.332807574164,10
35,25,0.0,MSLC,-116.571848723696,253.143697447392,265.332455696074,10
36,25,0.0,MVN,-125.543098975924,269.086197951848,280.056080375662,10
36,25,0.0,MVT,-125.545118648032,271.090237296065,283.278995544747,10
36,25,0.0,MSL,-125.54865171026,271.097303420519,283.286061669201,10
36,25,0.0,MVNC,-125.543098975924,269.086197951848,280.056080375662,10
36,25,0.0,MVTC,-125.545118632703,271.090237265405,283.278995514087,10
36,25,0.0,MSLC,-125.627240230795,271.25448046159,283.443238710272,10
37,25,0.0,MVN,-126.276928674969,270.553857349939,281.523739773753,10
37,25,0.0,MVT,-125.952376223629,271.904752447258,284.09351069594,10
37,25,0.0,MSL,-125.467346290398,270.934692580797,283.123450829479,10
37,25,0.0,MVNC,-126.276928674969,270.553857349939,281.523739773753,10
37,25,0.0,MVTC,-125.952376223625,271.904752447249,284.093510695931,10
37,25,0.0,MSLC,-126.023709428361,272.047418856721,284.236177105403,10
38,25,0.0,MVN,-125.280839237428,268.561678474856,279.53156089867,10
38,25,0.0,MVT,-125.280854875949,270.561709751899,282.750468000581,10
38,25,0.0,MSL,-125.289992825293,270.579985650587,282.768743899269,10
38,25,0.0,MVNC,-125.280839237428,268.561678474856,279.53156089867,10
38,25,0.0,MVTC,-125.280850470844,270.561700941688,282.75045919037,10
38,25,0.0,MSLC,-125.389652315953,270.779304631907,282.968062880589,10
39,25,0.0,MVN,-128.110824536386,274.221649072771,285.191531496585,10
39,25,0.0,MVT,-128.11089354246,276.221787084919,288.410545333601,10
39,25,0.0,MSL,-128.118602338465,276.23720467693,288.425962925612,10
39,25,0.0,MVNC,-128.110824536386,274.221649072771,285.191531496585,10
39,25,0.0,MVTC,-128.110920512177,276.221841024353,288.410599273035,10
39,25,0.0,MSLC,-128.308054858857,276.616109717714,288.804867966396,10
40,25,0.0,MVN,-129.175534466916,276.351068933833,287.320951357647,10
40,25,0.0,MVT,-129.175540867093,278.351081734187,290.539839982869,10
40,25,0.0,MSL,-129.186357694288,278.372715388575,290.561473637257,10
40,25,0.0,MVNC,-129.175534466916,276.351068933833,287.320951357647,10
40,25,0.0,MVTC,-129.175547528373,278.351095056746,290.539853305428,10
40,25,0.0,MSLC,-129.531744500735,279.06348900147,291.252247250152,10
41,25,0.0,MVN,-125.497744569196,268.995489138393,279.965371562207,10
41,25,0.0,MVT,-125.497760886459,270.995521772918,283.1842800216,10
41,25,0.0,MSL,-125.505302307371,271.010604614743,283.199362863425,10
41,25,0.0,MVNC,-125.497744569196,268.995489138393,279.965371562207,10
41,25,0.0,MVTC,-125.497760698482,270.995521396963,283.184279645645,10
41,25,0.0,MSLC,-125.574535462594,271.149070925189,283.337829173871,10
42,25,0.0,MVN,-121.047721069063,260.095442138126,271.06532456194,10
42,25,0.0,MVT,-121.047780012382,262.095560024765,274.284318273447,10
42,25,0.0,MSL,-121.059538197472,262.119076394944,274.307834643626,10
42,25,0.0,MVNC,-121.047721069063,260.095442138126,271.06532456194,10
42,25,0.0,MVTC,-121.047753952489,262.095507904979,274.284266153661,10
42,25,0.0,MSLC,-121.166818051704,262.333636103409,274.522394352091,10
43,25,0.0,MVN,-131.790974845104,281.581949690208,292.551832114022,10
43,25,0.0,MVT,-131.790998404546,283.581996809093,295.770755057775,10
43,25,0.0,MSL,-131.800263875718,283.600527751436,295.789286000118,10
43,25,0.0,MVNC,-131.790974845104,281.581949690208,292.551832114022,10
43,25,0.0,MVTC,-131.807771792503,283.615543585006,295.804301833688,10
43,25,0.0,MSLC,-132.2095257079,284.419051415801,296.607809664483,10
44,25,0.0,MVN,-130.443200451759,278.886400903517,289.856283327331,10
44,25,0.0,MVT,-130.443335643956,280.886671287912,293.075429536594,10
44,25,0.0,MSL,-130.451069780267,280.902139560533,293.090897809215,10
44,25,0.0,MVNC,-130.443200451759,278.886400903517,289.856283327331,10
44,25,0.0,MVTC,-130.443211437305,280.88642287461,293.075181123292,10
44,25,0.0,MSLC,-130.609390714946,281.218781429893,293.407539678575,10
45,25,0.0,MVN,-134.936056595598,287.872113191196,298.84199561501,10
45,25,0.0,MVT,-134.936061726519,289.872123453037,302.060881701719,10
45,25,0.0,MSL,-134.942244634622,289.884489269245,302.073247517927,10
45,25,0.0,MVNC,-134.936056595598,287.872113191196,298.84199561501,10
45,25,0.0,MVTC,-134.947534034276,289.895068068552,302.083826317234,10
45,25,0.0,MSLC,-135.267748558485,290.53549711697,302.724255365652,10
46,25,0.0,MVN,-111.072874919408,240.145749838815,251.115632262629,10
46,25,0.0,MVT,-111.07289402175,242.1457880435,254.334546292182,10
46,25,0.0,MSL,-111.079607192666,242.159214385332,254.347972634014,10
46,25,0.0,MVNC,-111.072874919408,240.145749838815,251.115632262629,10
46,25,0.0,MVTC,-111.072906882115,242.145813764229,254.334572012911,10
46,25,0.0,MSLC,-111.073190347334,242.146380694668,254.33513894335,10
47,25,0.0,MVN,-121.153461949188,260.306923898376,271.27680632219,10
47,25,0.0,MVT,-121.152035971693,262.304071943387,274.492830192069,10
47,25,0.0,MSL,-121.163868582531,262.327737165063,274.516495413745,10
47,25,0.0,MVNC,-121.153461949188,260.306923898376,271.27680632219,10
47,25,0.0,MVTC,-121.152035971729,262.304071943457,274.492830192139,10
47,25,0.0,MSLC,-121.153473682614,262.306947365228,274.49570561391,10
48,25,0.0,MVN,-139.214522138684,296.429044277368,307.398926701181,10
48,25,0.0,MVT,-139.214561783861,298.429123567721,310.617881816403,10
48,25,0.0,MSL,-139.222740758472,298.445481516945,310.634239765627,10
48,25,0.0,MVNC,-139.214522138684,296.429044277368,307.398926701181,10
48,25,0.0,MVTC,-139.214689561708,298.429379123416,310.618137372098,10
48,25,0.0,MSLC,-139.580897630234,299.161795260467,311.350553509149,10
49,25,0.0,MVN,-114.855862605175,247.71172521035,258.681607634163,10
49,25,0.0,MVT,-114.85588315175,249.7117663035,261.900524552182,10
49,25,0.0,MSL,-114.864679504968,249.729359009935,261.918117258617,10
49,25,0.0,MVNC,-114.855862605175,247.71172521035,258.681607634163,10
49,25,0.0,MVTC,-114.856095025487,249.712190050973,261.900948299655,10
49,25,0.0,MSLC,-114.856008067288,249.712016134575,261.900774383257,10
50,25,0.0,MVN,-128.358919584722,274.717839169443,285.687721593257,10
50,25,0.0,MVT,-128.358937713766,276.717875427532,288.906633676214,10
50,25,0.0,MSL,-128.365774320181,276.731548640361,288.920306889043,10
50,25,0.0,MVNC,-128.358919584722,274.717839169443,285.687721593257,10
50,25,0.0,MVTC,-128.358930005884,276.717860011768,288.906618260451,10
50,25,0.0,MSLC,-128.578359215387,277.156718430773,289.345476679455,10
51,25,0.0,MVN,-120.275398195154,258.550796390308,269.520678814122,10
51,25,0.0,MVT,-120.276775192446,260.553550384893,272.742308633575,10
51,25,0.0,MSL,-120.283897013342,260.567794026684,272.756552275366,10
51,25,0.0,MVNC,-120.275398195154,258.550796390308,269.520678814122,10
51,25,0.0,MVTC,-120.276775213167,260.553550426334,272.742308675016,10
51,25,0.0,MSLC,-120.300726802749,260.601453605499,272.790211854181,10
52,25,0.0,MVN,-132.605941361138,283.211882722275,294.181765146089,10
52,25,0.0,MVT,-132.638255805555,285.27651161111,297.465269859792,10
52,25,0.0,MSL,-132.618604579843,285.237209159685,297.425967408367,10
52,25,0.0,MVNC,-132.605941361138,283.211882722275,294.181765146089,10
52,25,0.0,MVTC,-132.60616898689,285.21233797378,297.401096222462,10
52,25,0.0,MSLC,-133.020147539843,286.040295079686,298.229053328368,10
53,25,0.0,MVN,-135.667848674185,289.33569734837,300.305579772184,10
53,25,0.0,MVT,-135.667881419614,291.335762839227,303.524521087909,10
53,25,0.0,MSL,-135.678348857081,291.356697714162,303.545455962844,10
53,25,0.0,MVNC,-135.667848674185,289.33569734837,300.305579772184,10
53,25,0.0,MVTC,-135.667906417337,291.335812834675,303.524571083357,10
53,25,0.0,MSLC,-136.089329524166,292.178659048331,304.367417297013,10
54,25,0.0,MVN,-131.740529870678,281.481059741356,292.45094216517,10
54,25,0.0,MVT,-131.740558837281,283.481117674561,295.669875923243,10
54,25,0.0,MSL,-131.750261841193,283.500523682386,295.689281931068,10
54,25,0.0,MVNC,-131.740529870678,281.481059741356,292.45094216517,10
54,25,0.0,MVTC,-131.740548436206,283.481096872413,295.669855121095,10
54,25,0.0,MSLC,-132.138411972136,284.276823944272,296.465582192954,10
55,25,0.0,MVN,-126.207278323183,270.414556646365,281.384439070179,10
55,25,0.0,MVT,-126.20920077497,272.41840154994,284.607159798622,10
55,25,0.0,MSL,-126.214000770313,272.428001540626,284.616759789308,10
55,25,0.0,MVNC,-126.207278323183,270.414556646365,281.384439070179,10
55,25,0.0,MVTC,-126.20920083811,272.418401676219,284.607159924901,10
55,25,0.0,MSLC,-126.315935352733,272.631870705466,284.820628954149,10
56,25,0.0,MVN,-123.813908997124,265.627817994248,276.597700418062,10
56,25,0.0,MVT,-123.819662376907,267.639324753814,279.828083002496,10
56,25,0.0,MSL,-123.82228589081,267.644571781619,279.833330030301,10
56,25,0.0,MVNC,-123.813908997124,265.627817994248,276.597700418062,10
56,25,0.0,MVTC,-123.819662299793,267.639324599587,279.828082848269,10
56,25,0.0,MSLC,-123.9193527222,267.838705444401,280.027463693083,10
57,25,0.0,MVN,-117.73881373409,253.47762746818,264.447509891994,10
57,25,0.0,MVT,-117.738891552255,255.47778310451,267.666541353192,10
57,25,0.0,MSL,-117.746772392255,255.493544784511,267.682303033193,10
57,25,0.0,MVNC,-117.73881373409,253.47762746818,264.447509891994,10
57,25,0.0,MVTC,-117.739368076716,255.478736153432,267.667494402114,10
57,25,0.0,MSLC,-117.883393916535,255.76678783307,267.955546081752,10
58,25,0.0,MVN,-123.573472269204,265.146944538407,276.116826962221,10
58,25,0.0,MVT,-123.57370674637,267.14741349274,279.336171741422,10
58,25,0.0,MSL,-123.584373135316,267.168746270633,279.357504519315,10
58,25,0.0,MVNC,-123.573472269204,265.146944538407,276.116826962221,10
58,25,0.0,MVTC,-123.5734925599,267.146985119799,279.335743368481,10
58,25,0.0,MSLC,-123.711170738371,267.422341476742,279.611099725424,10
59,25,0.0,MVN,-131.093185634066,280.186371268133,291.156253691947,10
59,25,0.0,MVT,-130.940761909899,281.881523819798,294.07028206848,10
59,25,0.0,MSL,-131.092824857126,282.185649714252,294.374407962934,10
59,25,0.0,MVNC,-131.093185634066,280.186371268133,291.156253691947,10
59,25,0.0,MVTC,-130.940761909901,281.881523819802,294.070282068484,10
59,25,0.0,MSLC,-131.131842702517,282.263685405034,294.452443653716,10
60,25,0.0,MVN,-127.95890012431,273.91780024862,284.887682672433,10
60,25,0.0,MVT,-127.958941569975,275.917883139949,288.106641388631,10
60,25,0.0,MSL,-127.972386786293,275.944773572587,288.133531821269,10
60,25,0.0,MVNC,-127.95890012431,273.91780024862,284.887682672433,10
60,25,0.0,MVTC,-127.959144407152,275.918288814304,288.107047062986,10
60,25,0.0,MSLC,-128.115635920317,276.231271840635,288.420030089317,10
61,25,0.0,MVN,-112.033103889255,242.066207778509,253.036090202323,10
61,25,0.0,MVT,-112.033119422181,244.066238844363,256.254997093045,10
61,25,0.0,MSL,-112.042272798969,244.084545597938,256.27330384662,10
61,25,0.0,MVNC,-112.033103889255,242.066207778509,253.036090202323,10
61,25,0.0,MVTC,-112.044310164541,244.088620329083,256.277378577765,10
61,25,0.0,MSLC,-112.033367373401,244.066734746802,256.255492995484,10
62,25,0.0,MVN,-127.662626747319,273.325253494638,284.295135918452,10
62,25,0.0,MVT,-127.6747380616,275.3494761232,287.538234371882,10
62,25,0.0,MSL,-127.670059994488,275.340119988976,287.528878237658,10
62,25,0.0,MVNC,-127.662626747319,273.325253494638,284.295135918452,10
62,25,0.0,MVTC,-127.66263004104,275.325260082079,287.514018330761,10
62,25,0.0,MSLC,-127.723260237363,275.446520474725,287.635278723407,10
63,25,0.0,MVN,-132.575019583383,283.150039166767,294.11992159058,10
63,25,0.0,MVT,-132.575243932142,285.150487864284,297.339246112966,10
63,25,0.0,MSL,-132.582076289169,285.164152578338,297.35291082702,10
63,25,0.0,MVNC,-132.575019583383,283.150039166767,294.11992159058,10
63,25,0.0,MVTC,-132.575042020077,285.150084040154,297.338842288836,10
63,25,0.0,MSLC,-132.854556135465,285.70911227093,297.897870519612,10
64,25,0.0,MVN,-120.898567289734,259.797134579468,270.767017003282,10
64,25,0.0,MVT,-120.89860782987,261.797215659739,273.985973908421,10
64,25,0.0,MSL,-120.906441852337,261.812883704674,274.001641953356,10
64,25,0.0,MVNC,-120.898567289734,259.797134579468,270.767017003282,10
64,25,0.0,MVTC,-120.898607236819,261.797214473639,273.985972722321,10
64,25,0.0,MSLC,-120.901651248632,261.803302497265,273.992060745947,10
65,25,0.0,MVN,-122.216408730433,262.432817460867,273.402699884681,10
65,25,0.0,MVT,-122.216438062544,264.432876125088,276.62163437377,10
65,25,0.0,MSL,-122.224124987726,264.448249975452,276.637008224134,10
65,25,0.0,MVNC,-122.216408730433,262.432817460867,273.402699884681,10
65,25,0.0,MVTC,-122.216453588123,264.432907176246,276.621665424928,10
65,25,0.0,MSLC,-122.225012551569,264.450025103137,276.638783351819,10
66,25,0.0,MVN,-129.805777642175,277.61155528435,288.581437708164,10
66,25,0.0,MVT,-129.805814733553,279.611629467107,291.800387715789,10
66,25,0.0,MSL,-129.817017623268,279.634035246537,291.822793495219,10
66,25,0.0,MVNC,-129.805777642175,277.61155528435,288.581437708164,10
66,25,0.0,MVTC,-129.806227252034,279.612454504068,291.80121275275,10
66,25,0.0,MSLC,-130.033637322094,280.067274644189,292.256032892871,10
67,25,0.0,MVN,-140.675461455488,299.350922910975,310.320805334789,10
67,25,0.0,MVT,-140.679540624516,301.359081249031,313.547839497713,10
67,25,0.0,MSL,-140.685768989421,301.371537978841,313.560296227523,10
67,25,0.0,MVNC,-140.675461455488,299.350922910975,310.320805334789,10
67,25,0.0,MVTC,-140.679541718644,301.359083437289,313.547841685971,10
67,25,0.0,MSLC,-141.600720197754,303.201440395509,315.390198644191,10
68,25,0.0,MVN,-127.90922637933,273.818452758661,284.788335182474,10
68,25,0.0,MVT,-127.90929950644,275.818599012881,288.007357261563,10
68,25,0.0,MSL,-127.92014234684,275.840284693679,288.029042942361,10
68,25,0.0,MVNC,-127.90922637933,273.818452758661,284.788335182474,10
68,25,0.0,MVTC,-127.909358302273,275.818716604545,288.007474853227,10
68,25,0.0,MSLC,-128.230003630514,276.460007261028,288.64876550971,10
