Rep,N,Crate,Model,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,nu
14,25,0.0,MVTC,1.09364001963913,1.99389920608397,3.02940935908522,7.93750907980437,5.64075756179087,7.08170851889957,2.58422787648593,3.32690142956832,2.38509160979879,15.5253858542734,4
14,25,0.0,MSLC,1.05784145018061,1.97065791325181,2.98434943606606,4.81146906959936,3.43666701534763,4.34282026621041,1.56693412353262,1.95555183853543,1.30911399595493,3.2379457143625,4
15,25,0.0,MVN,1.10155633217404,2.06828702566812,3.39286518637897,3.33548105864726,2.21319487575944,2.5152275421651,0.973711754454316,1.70391362022163,2.39934297942912,0.0,4
15,25,0.0,MVT,1.0938318521471,1.92474733669332,3.20600697329011,3.11081933667353,1.85090398472614,1.7371309802571,0.63499376492316,0.899676135141458,1.4099122166675,8.55290742353941,4
15,25,0.0,MSL,1.0702827939317,1.90220379570101,3.18982766430102,2.17161005400823,1.28413282926918,1.16469914708091,0.427449619638878,0.559523546222147,0.89868853755041,3.99574820029849,4
15,25,0.0,MVNC,1.10155633217404,2.06828702566812,3.39286518637897,3.33548105864726,2.21319487575944,2.5152275421651,0.973711754454316,1.70391362022163,2.39934297942912,0.0,4
15,25,0.0,MVTC,1.09383185213633,1.92474733671504,3.2060069733234,3.11081933673806,1.85090398480966,1.73713098040753,0.634993764986776,0.899676135274508,1.40991221683054,8.55290742120272,4
15,25,0.0,MSLC,1.0681003597925,1.95274503034558,3.25176610760484,2.59280522378035,1.59507911202772,1.57399928900305,0.580539525891583,0.856936821968321,1.29858843751834,7.73738851416901,4
16,25,0.0,MVN,-0.235559432032158,1.3986157707147,2.67794374713479,8.09071256732052,4.89499608857225,4.58783564503669,2.27168912641981,2.53304635492979,2.67874267876291,0.0,4
16,25,0.0,MVT,0.169346051956524,1.47999116071121,2.76003252776411,5.06758687109083,3.54000539696651,3.38523256787889,2.35830283243572,2.25061818875625,2.22933307060296,4.23099124390455,4
16,25,0.0,MSL,0.0385656142575941,1.42466637272661,2.68303058556412,3.54904755375501,2.45820083424706,2.34140927683936,1.62570253251382,1.54224235434405,1.52882307523331,3.00535994428083,4
16,25,0.0,MVNC,-0.235559432032158,1.3986157707147,2.67794374713479,8.09071256732052,4.89499608857225,4.58783564503669,2.27168912641981,2.53304635492979,2.67874267876291,0.0,4
16,25,0.0,MVTC,0.169346052289482,1.47999116081053,2.76003252792425,5.06758686927551,3.54000539600708,3.38523256697819,2.35830283216047,2.250618188404,2.22933307018904,4.23099124001378,4
16,25,0.0,MSLC,-0.0069726695923584,1.42986255897406,2.66306486538839,4.39773242915001,2.99905902747549,2.88645142105914,1.84945049721697,1.79256784241155,1.77936148274066,4.58736830724225,4
17,25,0.0,MVN,0.724091558130627,1.78490262027359,2.56497678236545,7.02442959125837,3.88750004732831,3.69614574270437,1.99549648537595,1.26835999621656,1.25866465277648,0.0,4
17,25,0.0,MVT,0.767997156654012,1.8158471789241,2.58496544738314,6.51910157150542,3.73665299285728,3.52084627500877,1.82863287492824,1.20546333129554,1.15981727488868,24.5058894305168,4
17,25,0.0,MSL,0.747744564090007,1.80709677332655,2.5786280657061,5.57333867295267,3.15796236355172,2.9867964419599,1.56538226445624,1.02098194014644,0.991494686732674,9.46658681548547,4
17,25,0.0,MVNC,0.724091558130627,1.78490262027359,2.56497678236545,7.02442959125837,3.88750004732831,3.69614574270437,1.99549648537595,1.26835999621655,1.25866465277648,0.0,4
17,25,0.0,MVTC,0.767997156787591,1.81584717900341,2.58496544743679,6.51910157004005,3.73665299239761,3.52084627447432,1.82863287446142,1.20546333111189,1.15981727461014,24.5058893404131,4
17,25,0.0,MSLC,0.773890594380071,1.83278478048199,2.5944660863396,4.83947823811243,2.81935154565808,2.64918276158712,1.3393283814378,0.901432256461222,0.852612545750698,5.78739501376848,4
18,25,0.0,MVN,0.86356572996945,1.80053892581828,3.06509926855676,4.73391260082471,2.8509049667968,4.25923475914658,0.89561059621083,2.43896636028067,2.97281036510844,0.0,4
18,25,0.0,MVT,0.923743027642655,1.65615825633268,2.73591109255744,3.32729944675516,2.10339917075974,2.37152270425724,0.650672259448521,0.998456839196854,1.37424586107893,4.25881964016104,4
18,25,0.0,MSL,0.880279729959116,1.6193693936399,2.79125396243872,2.47997130736633,1.60859703235436,1.75337715107419,0.544700583241735,0.716596222512556,0.975381638366699,3.12085229920048,4
18,25,0.0,MVNC,0.86356572996945,1.80053892581828,3.06509926855676,4.73391260082471,2.8509049667968,4.25923475914658,0.89561059621083,2.43896636028067,2.97281036510844,0.0,4
18,25,0.0,MVTC,0.923743027561978,1.65615825633727,2.73591109277433,3.32729944792903,2.10339917159232,2.37152270529242,0.650672259843998,0.99845683975867,1.3742458617066,4.25881967680187,4
18,25,0.0,MSLC,0.880391308793994,1.62268835254191,2.8267272476196,2.92202259671398,1.89152381374983,2.07714155441522,0.653931622216315,0.873907159650445,1.17843927851611,4.32855617691127,4
19,25,0.0,MVN,1.95014520109525,2.78551649657001,3.10953579292208,9.170667351304,7.56752491205691,8.80714872408576,4.91107396667385,5.94043869778831,5.01365849352361,0.0,4
19,25,0.0,MVT,1.74592306033494,2.50893493235718,2.86595715039421,6.36815311854485,4.56863042700409,5.18629247455956,2.92944020825181,3.59385859597251,3.15202526816124,5.96912882293908,4
19,25,0.0,MSL,1.68575619684888,2.47933804495662,2.86844550874994,4.36612648574627,3.12535185680789,3.60470585661265,2.05819827018,2.55319101321135,2.30366268981847,3.64145836968653,4
19,25,0.0,MVNC,1.95014520109525,2.78551649657001,3.10953579292208,9.170667351304,7.56752491205691,8.80714872408576,4.91107396667385,5.94043869778832,5.01365849352361,0.0,4
19,25,0.0,MVTC,1.74592306034044,2.50893493238274,2.86595715043023,6.36815311920217,4.56863042762024,5.18629247533038,2.92944020868128,3.59385859651275,3.15202526864721,5.96912882595598,4
19,25,0.0,MSLC,1.67980589543469,2.47259828586454,2.85749090043311,4.18669013660815,2.98068708626535,3.43646401111516,1.95466841399771,2.43059884847281,2.18631366778833,3.38118943433574,4
