Rep,N,Crate,Model,run_sec,nu
44,25,0.0,MVTC,0.0099999999999997,4
44,25,0.0,MSLC,0.0,4
45,25,0.0,MVN,0.0,4
45,25,0.0,MVT,0.0,4
45,25,0.0,MSL,0.0300000000000002,4
45,25,0.0,MVNC,0.0,4
45,25,0.0,MVTC,0.0100000000000007,4
45,25,0.0,MSLC,0.0199999999999996,4
46,25,0.0,MVN,0.0,4
46,25,0.0,MVT,0.0099999999999997,4
46,25,0.0,MSL,0.0199999999999996,4
46,25,0.0,MVNC,0.0,4
46,25,0.0,MVTC,0.04,4
46,25,0.0,MSLC,0.0,4
47,25,0.0,MVN,0.0,4
47,25,0.0,MVT,0.0,4
47,25,0.0,MSL,0.0100000000000007,4
47,25,0.0,MVNC,0.0,4
47,25,0.0,MVTC,0.0199999999999996,4
47,25,0.0,MSLC,0.0,4
48,25,0.0,MVN,0.0,4
48,25,0.0,MVT,0.0099999999999997,4
48,25,0.0,MSL,0.0200000000000005,4
48,25,0.0,MVNC,0.0,4
48,25,0.0,MVTC,0.0199999999999996,4
48,25,0.0,MSLC,0.0,4
49,25,0.0,MVN,0.0,4
49,25,0.0,MVT,0.0099999999999997,4
49,25,0.0,MSL,0.0300000000000002,4
49,25,0.0,MVNC,0.0199999999999996,4
49,25,0.0,MVTC,0.0100000000000007,4
49,25,0.0,MSLC,0.0,4
50,25,0.0,MVN,0.0,4
50,25,0.0,MVT,0.0099999999999997,4
50,25,0.0,MSL,0.0,4
50,25,0.0,MVNC,0.0,4
50,25,0.0,MVTC,0.0200000000000005,4
50,25,0.0,MSLC,0.0,4
51,25,0.0,MVN,0.0,4
51,25,0.0,MVT,0.0,4
51,25,0.0,MSL,0.0199999999999996,4
51,25,0.0,MVNC,0.0,4
51,25,0.0,MVTC,0.0199999999999996,4
51,25,0.0,MSLC,0.0100000000000007,4
52,25,0.0,MVN,0.0,4
52,25,0.0,MVT,0.0,4
52,25,0.0,MSL,0.0099999999999997,4
52,25,0.0,MVNC,0.0,4
52,25,0.0,MVTC,0.04,4
52,25,0.0,MSLC,0.0099999999999997,4
53,25,0.0,MVN,0.0,4
53,25,0.0,MVT,0.0099999999999997,4
53,25,0.0,MSL,0.0,4
53,25,0.0,MVNC,0.0,4
53,25,0.0,MVTC,0.0,4
53,25,0.0,MSLC,0.0,4
54,25,0.0,MVN,0.0,4
54,25,0.0,MVT,0.0199999999999996,4
54,25,0.0,MSL,0.0099999999999997,4
54,25,0.0,MVNC,0.0,4
54,25,0.0,MVTC,0.0199999999999996,4
54,25,0.0,MSLC,0.0,4
55,25,0.0,MVN,0.0,4
55,25,0.0,MVT,0.0199999999999996,4
55,25,0.0,MSL,0.0300000000000002,4
55,25,0.0,MVNC,0.0,4
55,25,0.0,MVTC,0.0100000000000007,4
55,25,0.0,MSLC,0.0,4
56,25,0.0,MVN,0.0,4
56,25,0.0,MVT,0.0,4
56,25,0.0,MSL,0.0,4
56,25,0.0,MVNC,0.0,4
56,25,0.0,MVTC,0.0,4
56,25,0.0,MSLC,0.0,4
57,25,0.0,MVN,0.0,4
57,25,0.0,MVT,0.0,4
57,25,0.0,MSL,0.0200000000000005,4
57,25,0.0,MVNC,0.0,4
57,25,0.0,MVTC,0.0099999999999997,4
57,25,0.0,MSLC,0.0199999999999996,4
58,25,0.0,MVN,0.0,4
58,25,0.0,MVT,0.0099999999999997,4
58,25,0.0,MSL,0.0,4
58,25,0.0,MVNC,0.0199999999999996,4
58,25,0.0,MVTC,0.0100000000000007,4
58,25,0.0,MSLC,0.0,4
59,25,0.0,MVN,0.0,4
59,25,0.0,MVT,0.0,4
59,25,0.0,MSL,0.0199999999999996,4
59,25,0.0,MVNC,0.0,4
59,25,0.0,MVTC,0.0200000000000005,4
59,25,0.0,MSLC,0.0099999999999997,4
60,25,0.0,MVN,0.0,4
60,25,0.0,MVT,0.0100000000000007,4
60,25,0.0,MSL,0.0199999999999996,4
60,25,0.0,MVNC,0.0,4
60,25,0.0,MVTC,0.0300000000000002,4
60,25,0.0,MSLC,0.0199999999999996,4
61,25,0.0,MVN,0.0,4
61,25,0.0,MVT,0.0200000000000005,4
61,25,0.0,MSL,0.0099999999999997,4
61,25,0.0,MVNC,0.0199999999999996,4
61,25,0.0,MVTC,0.0099999999999997,4
61,25,0.0,MSLC,0.0,4
62,25,0.0,MVN,0.0,4
62,25,0.0,MVT,0.0200000000000005,4
62,25,0.0,MSL,0.0,4
62,25,0.0,MVNC,0.0,4
62,25,0.0,MVTC,0.0,4
62,25,0.0,MSLC,0.0,4
63,25,0.0,MVN,0.0,4
63,25,0.0,MVT,0.0199999999999996,4
63,25,0.0,MSL,0.0099999999999997,4
63,25,0.0,MVNC,0.0,4
63,25,0.0,MVTC,0.0100000000000007,4
63,25,0.0,MSLC,0.0,4
64,25,0.0,MVN,0.0,4
64,25,0.0,MVT,0.0,4
64,25,0.0,MSL,0.0199999999999996,4
64,25,0.0,MVNC,0.0,4
64,25,0.0,MVTC,0.0200000000000005,4
64,25,0.0,MSLC,0.0099999999999997,4
65,25,0.0,MVN,0.0,4
65,25,0.0,MVT,0.0199999999999996,4
65,25,0.0,MSL,0.0300000000000002,4
65,25,0.0,MVNC,0.0,4
65,25,0.0,MVTC,0.0200000000000005,4
65,25,0.0,MSLC,0.0,4
66,25,0.0,MVN,0.0,4
66,25,0.0,MVT,0.0200000000000005,4
66,25,0.0,MSL,0.0,4
66,25,0.0,MVNC,0.0,4
66,25,0.0,MVTC,0.0299999999999994,4
66,25,0.0,MSLC,0.0,4
67,25,0.0,MVN,0.0,4
67,25,0.0,MVT,0.0,4
67,25,0.0,MSL,0.0,4
67,25,0.0,MVNC,0.0,4
67,25,0.0,MVTC,0.0199999999999996,4
67,25,0.0,MSLC,0.0099999999999997,4
68,25,0.0,MVN,0.0,4
68,25,0.0,MVT,0.0,4
68,25,0.0,MSL,0.0100000000000007,4
68,25,0.0,MVNC,0.0,4
68,25,0.0,MVTC,0.0,4
68,25,0.0,MSLC,0.0,4
69,25,0.0,MVN,0.0,4
69,25,0.0,MVT,0.0,4
69,25,0.0,MSL,0.0199999999999996,4
69,25,0.0,MVNC,0.0,4
69,25,0.0,MVTC,0.0200000000000005,4
69,25,0.0,MSLC,0.0099999999999997,4
70,25,0.0,MVN,0.0,4
70,25,0.0,MVT,0.0,4
70,25,0.0,MSL,0.0199999999999996,4
70,25,0.0,MVNC,0.0,4
70,25,0.0,MVTC,0.0299999999999994,4
70,25,0.0,MSLC,0.0100000000000007,4
71,25,0.0,MVN,0.0,4
71,25,0.0,MVT,0.0200000000000005,4
71,25,0.0,MSL,0.0,4
71,25,0.0,MVNC,0.0,4
71,25,0.0,MVTC,0.0099999999999997,4
71,25,0.0,MSLC,0.0,4
72,25,0.0,MVN,0.0,4
72,25,0.0,MVT,0.0,4
72,25,0.0,MSL,0.0,4
72,25,0.0,MVNC,0.0,4
72,25,0.0,MVTC,0.0099999999999997,4
72,25,0.0,MSLC,0.0199999999999996,4
73,25,0.0,MVN,0.0,4
73,25,0.0,MVT,0.0099999999999997,4
73,25,0.0,MSL,0.0,4
73,25,0.0,MVNC,0.0,4
73,25,0.0,MVTC,0.0199999999999996,4
73,25,0.0,MSLC,0.0,4
74,25,0.0,MVN,0.0,4
74,25,0.0,MVT,0.0199999999999996,4
74,25,0.0,MSL,0.0100000000000007,4
74,25,0.0,MVNC,0.0,4
74,25,0.0,MVTC,0.0300000000000002,4
74,25,0.0,MSLC,0.0,4
75,25,0.0,MVN,0.0,4
75,25,0.0,MVT,0.0,4
75,25,0.0,MSL,0.0199999999999996,4
75,25,0.0,MVNC,0.0,4
75,25,0.0,MVTC,0.0,4
75,25,0.0,MSLC,0.0100000000000007,4
76,25,0.0,MVN,0.0,4
76,25,0.0,MVT,0.0200000000000005,4
76,25,0.0,MSL,0.0099999999999997,4
76,25,0.0,MVNC,0.0,4
76,25,0.0,MVTC,0.0200000000000005,4
76,25,0.0,MSLC,0.0,4
77,25,0.0,MVN,0.0,4
77,25,0.0,MVT,0.0,4
77,25,0.0,MSL,0.0299999999999994,4
77,25,0.0,MVNC,0.0,4
77,25,0.0,MVTC,0.0099999999999997,4
77,25,0.0,MSLC,0.0200000000000005,4
78,25,0.0,MVN,0.0,4
78,25,0.0,MVT,0.0199999999999996,4
78,25,0.0,MSL,0.0100000000000007,4
78,25,0.0,MVNC,0.0,4
78,25,0.0,MVTC,0.0099999999999997,4
78,25,0.0,MSLC,0.0,4
79,25,0.0,MVN,0.0,4
79,25,0.0,MVT,0.0,4
79,25,0.0,MSL,0.0,4
79,25,0.0,MVNC,0.0,4
79,25,0.0,MVTC,0.0100000000000007,4
79,25,0.0,MSLC,0.0199999999999996,4
80,25,0.0,MVN,0.0,4
80,25,0.0,MVT,0.0,4
80,25,0.0,MSL,0.0299999999999994,4
80,25,0.0,MVNC,0.0,4
80,25,0.0,MVTC,0.0099999999999997,4
80,25,0.0,MSLC,0.0200000000000005,4
81,25,0.0,MVN,0.0,4
81,25,0.0,MVT,0.0,4
81,25,0.0,MSL,0.0199999999999996,4
81,25,0.0,MVNC,0.0,4
81,25,0.0,MVTC,0.0,4
81,25,0.0,MSLC,0.0,4
82,25,0.0,MVN,0.0,4
82,25,0.0,MVT,0.0199999999999996,4
82,25,0.0,MSL,0.0099999999999997,4
82,25,0.0,MVNC,0.0,4
82,25,0.0,MVTC,0.0100000000000007,4
82,25,0.0,MSLC,0.0,4
83,25,0.0,MVN,0.0,4
83,25,0.0,MVT,0.0099999999999997,4
83,25,0.0,MSL,0.0199999999999996,4
83,25,0.0,MVNC,0.0,4
83,25,0.0,MVTC,0.04,4
83,25,0.0,MSLC,0.0,4
84,25,0.0,MVN,0.0,4
84,25,0.0,MVT,0.0,4
84,25,0.0,MSL,0.0100000000000007,4
84,25,0.0,MVNC,0.0,4
84,25,0.0,MVTC,0.0099999999999997,4
84,25,0.0,MSLC,0.0199999999999996,4
85,25,0.0,MVN,0.0,4
85,25,0.0,MVT,0.0,4
85,25,0.0,MSL,0.0200000000000005,4
85,25,0.0,MVNC,0.0,4
85,25,0.0,MVTC,0.0200000000000005,4
85,25,0.0,MSLC,0.0099999999999997,4
86,25,0.0,MVN,0.0,4
86,25,0.0,MVT,0.0,4
86,25,0.0,MSL,0.0199999999999996,4
86,25,0.0,MVNC,0.0,4
86,25,0.0,MVTC,0.0200000000000005,4
86,25,0.0,MSLC,0.0099999999999997,4
87,25,0.0,MVN,0.0,4
87,25,0.0,MVT,0.0,4
87,25,0.0,MSL,0.0099999999999997,4
87,25,0.0,MVNC,0.0,4
87,25,0.0,MVTC,0.0100000000000007,4
87,25,0.0,MSLC,0.0,4
88,25,0.0,MVN,0.0,4
88,25,0.0,MVT,0.0,4
88,25,0.0,MSL,0.0199999999999996,4
88,25,0.0,MVNC,0.0,4
88,25,0.0,MVTC,0.0200000000000005,4
88,25,0.0,MSLC,0.0099999999999997,4
89,25,0.0,MVN,0.0,4
89,25,0.0,MVT,0.0,4
89,25,0.0,MSL,0.0199999999999996,4
89,25,0.0,MVNC,0.0,4
89,25,0.0,MVTC,0.0,4
89,25,0.0,MSLC,0.0100000000000007,4
90,25,0.0,MVN,0.0,4
90,25,0.0,MVT,0.0099999999999997,4
90,25,0.0,MSL,0.0,4
90,25,0.0,MVNC,0.0,4
90,25,0.0,MVTC,0.0099999999999997,4
90,25,0.0,MSLC,0.0,4
91,25,0.0,MVN,0.0,4
91,25,0.0,MVT,0.0,4
91,25,0.0,MSL,0.0200000000000005,4
91,25,0.0,MVNC,0.0,4
91,25,0.0,MVTC,0.0300000000000002,4
91,25,0.0,MSLC,0.0199999999999996,4
92,25,0.0,MVN,0.0,4
92,25,0.0,MVT,0.0199999999999996,4
92,25,0.0,MSL,0.0099999999999997,4
92,25,0.0,MVNC,0.0,4
92,25,0.0,MVTC,0.0100000000000007,4
92,25,0.0,MSLC,0.0,4
93,25,0.0,MVN,0.0,4
93,25,0.0,MVT,0.0200000000000005,4
93,25,0.0,MSL,0.0099999999999997,4
93,25,0.0,MVNC,0.0,4
93,25,0.0,MVTC,0.0100000000000007,4
93,25,0.0,MSLC,0.0199999999999996,4
94,25,0.0,MVN,0.0,4
94,25,0.0,MVT,0.0099999999999997,4
94,25,0.0,MSL,0.0199999999999996,4
94,25,0.0,MVNC,0.0,4
94,25,0.0,MVTC,0.0,4
94,25,0.0,MSLC,0.0,4
95,25,0.0,MVN,0.0,4
95,25,0.0,MVT,0.0200000000000005,4
95,25,0.0,MSL,0.0,4
95,25,0.0,MVNC,0.0,4
95,25,0.0,MVTC,0.0199999999999996,4
95,25,0.0,MSLC,0.0,4
96,25,0.0,MVN,0.0,4
96,25,0.0,MVT,0.0,4
96,25,0.0,MSL,0.0099999999999997,4
96,25,0.0,MVNC,0.0,4
96,25,0.0,MVTC,0.0099999999999997,4
96,25,0.0,MSLC,0.0200000000000005,4
97,25,0.0,MVN,0.0,4
97,25,0.0,MVT,0.0100000000000007,4
97,25,0.0,MSL,0.0199999999999996,4
97,25,0.0,MVNC,0.0,4
97,25,0.0,MVTC,0.0,4
97,25,0.0,MSLC,0.0,4
98,25,0.0,MVN,0.0,4
98,25,0.0,MVT,0.0,4
98,25,0.0,MSL,0.0,4
98,25,0.0,MVNC,0.0,4
98,25,0.0,MVTC,0.0199999999999996,4
98,25,0.0,MSLC,0.0200000000000005,4
99,25,0.0,MVN,0.0,4
99,25,0.0,MVT,0.0,4
99,25,0.0,MSL,0.0,4
