Rep,N,Crate,Model,Squared_Error1,Squared_Error2,Squared_Error3,Squared_Error4,Squared_Error5,Squared_Error6,Squared_Error7,Squared_Error8,Squared_Error9,Squared_Error10,MSE,nu
11,25,0.0,MSL,0.120018406663523,0.125196604459505,0.103239088382847,3.99846688059676,0.0654402499470277,0.91007889815606,0.0877317700844479,0.0385975906774967,0.0502850758327149,0.0118149717636509,0.611006062755598,4
11,25,0.0,MVNC,0.201729916236187,0.20967775123201,0.0659084467445465,0.0032106431219292,3.82612141033809,15.7561017825044,0.23750562678659,1.95782089027421,0.933275948951904,0.0,2.5768169351322,4
11,25,0.0,MVTC,0.118601355342928,0.124083643488851,0.0943960187832319,0.977508581271303,0.729226535505978,6.37439141497567,0.0300922767857488,0.754335134487447,0.117373908907813,12.6928145262516,1.035556541061,4
11,25,0.0,MSLC,0.12506235561199,0.132032372883421,0.102128458278736,3.38850277174403,0.0068908294971863,1.42683099314953,0.0513012084872971,0.0876300241597026,0.0209100204766888,0.193299885986343,0.593476559365398,4
12,25,0.0,MVN,0.167457114427272,0.172742741421111,0.0040585032153919,1.96210823209344,0.213911639250535,0.773898970806479,0.0092070465383041,1.39947636093135,3.23956025785087,0.0,0.88249120739275,4
12,25,0.0,MVT,0.167455878647069,0.172741454609993,0.0040585431794262,1.96212731029075,0.213918317239669,0.773872739176506,0.0092076428659992,1.39945946088379,3.23954571408857,296185270081.525,0.882487451220197,4
12,25,0.0,MSL,0.167034833867845,0.172288955966643,0.0040741165630459,2.28008681202108,0.305278210697912,0.548750467221954,0.0211578047525583,1.18369458055885,2.83792727218156,2689.32248441531,0.835588117092383,4
12,25,0.0,MVNC,0.167457114427272,0.172742741421111,0.0040585032153919,1.96210823209344,0.213911639250536,0.773898970806479,0.009207046538304,1.39947636093135,3.23956025785088,0.0,0.882491207392751,4
12,25,0.0,MVTC,0.167432246296234,0.172716846293166,0.004059307467212,1.96249220555515,0.21404605261457,0.773371159971788,0.009219050794088,1.39913627780145,3.23926757270168,731090216.63347,0.882415635499481,4
12,25,0.0,MSLC,0.144307293088335,0.145283911032562,0.0054105525244257,4.98762634774489,1.37702212067673,0.0728806036598205,0.223366314621361,0.193406344220005,0.927761636347347,4.47324561379666,0.897451680435052,4
13,25,0.0,MVN,1.259674937869,0.151527194325423,0.0475802669203962,0.0906935667160778,0.103051710878999,0.0005731910098928,0.0374592699334914,0.0322680017025898,0.377306099432875,0.0,0.233348248754305,4
13,25,0.0,MVT,1.25872818523208,0.150673888125432,0.0473720798028496,0.0926417172896348,0.104432970419073,0.0007271718376997,0.0379668144075569,0.0315919675691136,0.374231447291908,1978040.31986525,0.233151804663927,4
13,25,0.0,MSL,1.25851329983455,0.150462537614684,0.0473246418005276,0.226313317905017,0.187056497218432,0.0220728969495111,0.0616135311275995,0.011900347587145,0.275935190962834,1858.37376527317,0.249021362333367,4
13,25,0.0,MVNC,1.259674937869,0.151527194325423,0.0475802669203962,0.0906935667160789,0.103051710878998,0.0005731910098928,0.0374592699334914,0.0322680017025901,0.377306099432877,0.0,0.233348248754305,4
13,25,0.0,MVTC,1.25872819518034,0.150673897074963,0.0473720819878866,0.0926416966866683,0.10443295583435,0.0007271701217692,0.0379668090484801,0.0315919746430396,0.374231479545461,1978082.04345979,0.233151806680329,4
13,25,0.0,MSLC,1.24239661332002,0.135622587410743,0.0438356155358931,0.963499218268766,0.572447385331017,0.269135361691275,0.168261240724748,0.01043641605742,0.0663540858782782,50.6532800811568,0.385776502690907,4
14,25,0.0,MVN,0.0309884786483182,0.0023328829843582,0.0112068176207329,17.8149630514881,9.6530063840243,21.2180942416234,1.76116429323766,5.09096570298678,1.96624488491272,0.0,6.39432963750293,4
14,25,0.0,MVT,0.0087684532999011,3.72196855880271e-05,0.0008649104067251,11.8164686821735,6.97360050419891,16.660344440173,1.17555008903102,3.33756883560436,0.783387158905129,132.834519400139,4.52851003260868,4
14,25,0.0,MSL,0.0112049503830531,0.0001813936741076,3.7817230090643e-07,1.49776868774364,1.12089203064028,4.28333900270724,0.137118487129932,0.69805255787386,0.0102175315067153,0.695682268449148,0.862086113314569,4
14,25,0.0,MVNC,0.0309884786483182,0.0023328829843582,0.0112068176207329,17.8149630514881,9.6530063840243,21.2180942416234,1.76116429323766,5.09096570298678,1.96624488491272,0.0,6.39432963750293,4
14,25,0.0,MVTC,0.008768453278016,3.72196864059231e-05,0.0008649104018035,11.8164686737375,6.97360050015564,16.6603444332573,1.17555008814919,3.33756883335878,0.783387157736205,132.834519089885,4.52851002997342,4
14,25,0.0,MSLC,0.0033456333589957,0.0008609580547384,0.0002449401514502,0.0970129813170925,0.190678082292607,1.8031662673454,0.0044801768930803,0.207527477593007,0.0364374665402954,0.580726734258477,0.260417109282963,4
15,25,0.0,MVN,0.0103136886046433,0.0046631178745985,0.154343054668586,1.3561043647693,0.619062303531197,0.23500433587529,0.276979317399554,0.0415807645118896,0.808817794648444,0.0,0.3896520824315,4
15,25,0.0,MVT,0.008804416477355,0.0056629633347484,0.0424388730441533,1.92982291536018,1.32042165231827,1.5948381610264,0.748235786721809,0.360388742718697,0.0081158087057632,20.7289660073203,0.668747702189709,4
15,25,0.0,MSL,0.0049396711228457,0.0095640975752907,0.0360345421339793,5.42139974059554,2.9442001475918,3.36832922072555,1.15036431841279,0.884495960110567,0.361575474873265,1.80778007017824e-05,1.57565590812685,4
15,25,0.0,MVNC,0.0103136886046433,0.0046631178745985,0.154343054668586,1.3561043647693,0.619062303531197,0.235004335875289,0.276979317399554,0.0415807645118896,0.808817794648447,0.0,0.3896520824315,4
15,25,0.0,MVTC,0.0088044164753339,0.0056629633314793,0.042438873057869,1.92982291518087,1.32042165212633,1.59483816064644,0.748235786611752,0.360388742558951,0.0081158086763877,20.7289659860428,0.668747702073935,4
15,25,0.0,MSLC,0.0046376590038677,0.0022330321570402,0.0633861729384933,3.63739191443951,1.97380270146081,2.0334780277638,0.845407563447676,0.413530250940203,0.0405666175013036,13.9680729058425,1.00160377107252,4
16,25,0.0,MVN,1.52660711008363,0.361662991233075,0.103720230009582,12.8932167411135,3.59101017570413,2.52122203564909,0.595504107834563,1.06718477143372,1.38943430273715,0.0,2.67217360731094,4
16,25,0.0,MVT,0.689985981400213,0.27040919293848,0.0575843877312833,0.322154856234682,0.291605828752959,0.148404131354565,0.736683752167176,0.563427665291714,0.531926727875137,0.0533569547605723,0.401353613749579,4
16,25,0.0,MSL,0.924356078087877,0.331008782671554,0.100469609687822,0.904310555019324,0.293546336010582,0.43374174063325,0.0158011266803873,0.0017844165005279,0.0008307696659051,0.989308840441025,0.333983268328581,4
16,25,0.0,MVNC,1.52660711008363,0.361662991233075,0.103720230009582,12.8932167411135,3.59101017570413,2.5212220356491,0.595504107834563,1.06718477143372,1.38943430273716,0.0,2.67217360731094,4
