Rep,N,Crate,Model,SE1,SE2,SE3,nu
43,25,0.0,MVNR,0.248498986420647,0.689342487525815,0.333897063219819,4
43,25,0.0,MVTR,0.236002610952027,0.655462249743656,0.322538304358752,4
43,25,0.0,MSLR,0.233203215230425,0.660288813759262,0.327247630613035,4
43,25,0.0,MVNCR,0.248498986420647,0.689342487525811,0.333897063219818,4
43,25,0.0,MVTCR,0.236002610941101,0.655462249703953,0.32253830434172,4
43,25,0.0,MSLCR,0.232311137276593,0.658159239796547,0.326749574227747,4
44,25,0.0,MVNR,0.299873481525871,0.636922022015527,0.280817568565006,4
44,25,0.0,MVTR,0.248177846250503,0.55510626385484,0.246888224669216,4
44,25,0.0,MSLR,0.259901361446815,0.589236778999142,0.258529637862437,4
44,25,0.0,MVNCR,0.299873481525869,0.636922022015522,0.280817568565004,4
44,25,0.0,MVTCR,0.248177845802481,0.555106262942614,0.246888224337482,4
44,25,0.0,MSLCR,0.265011867841939,0.598753306147043,0.261910791309604,4
45,25,0.0,MVNR,0.260394292344963,0.664674153569033,0.305014050445939,4
45,25,0.0,MVTR,0.261312497012809,0.661698072534622,0.303874454818879,4
45,25,0.0,MSLR,0.26097841414396,0.666519491306083,0.306425891852878,4
45,25,0.0,MVNCR,0.26039429234496,0.664674153569019,0.305014050445934,4
45,25,0.0,MVTCR,0.261312497023532,0.661698072589713,0.303874454843169,4
45,25,0.0,MSLCR,0.261686945694557,0.665119548445504,0.3068416987292,4
46,25,0.0,MVNR,0.239031133909394,0.495306000097784,0.230981445396588,4
46,25,0.0,MVTR,0.239032340455364,0.495310953382203,0.23098288709307,4
46,25,0.0,MSLR,0.239062771486591,0.495434379512213,0.231019698751671,4
46,25,0.0,MVNCR,0.239031133909394,0.495306000097786,0.230981445396589,4
46,25,0.0,MVTCR,0.239031339721106,0.495306843619484,0.230981692681326,4
46,25,0.0,MSLCR,0.240828329881017,0.504368662373361,0.233521711884336,4
47,25,0.0,MVNR,0.186521362512933,0.616605384014382,0.292230060766877,4
47,25,0.0,MVTR,0.18652144175983,0.616605463126871,0.292230122298413,4
47,25,0.0,MSLR,0.186536178306244,0.616621125866929,0.292241990751627,4
47,25,0.0,MVNCR,0.186521362512933,0.616605384014391,0.292230060766881,4
47,25,0.0,MVTCR,0.186521412664895,0.616605434083441,0.292230099708454,4
47,25,0.0,MSLCR,0.188215240164017,0.609599475887474,0.290031256741163,4
48,25,0.0,MVNR,0.189833490548315,0.534811653351361,0.302284026500799,4
48,25,0.0,MVTR,0.199719036519634,0.508066770726008,0.278777222512946,4
48,25,0.0,MSLR,0.199865441392631,0.495058276813176,0.270332651510413,4
48,25,0.0,MVNCR,0.189833490548315,0.534811653351361,0.302284026500798,4
48,25,0.0,MVTCR,0.199719036654304,0.508066770707561,0.278777222311859,4
48,25,0.0,MSLCR,0.198942331518968,0.496843071642302,0.271673958853442,4
49,25,0.0,MVNR,0.25767612354417,0.50586344524902,0.253082222310693,4
49,25,0.0,MVTR,0.236946606975973,0.460306404164575,0.228328134519628,4
49,25,0.0,MSLR,0.229005610461549,0.45091982740322,0.224089315442846,4
49,25,0.0,MVNCR,0.25767612354417,0.505863445249024,0.253082222310695,4
49,25,0.0,MVTCR,0.236946606978212,0.460306404166536,0.228328134520076,4
49,25,0.0,MSLCR,0.235801866827445,0.463380712022731,0.230489192085602,4
50,25,0.0,MVNR,0.189647799799007,0.562292894225194,0.297654751973045,4
50,25,0.0,MVTR,0.175585523590343,0.561911554914927,0.295665456920336,4
50,25,0.0,MSLR,0.171799406038522,0.571057447166045,0.302028150979267,4
50,25,0.0,MVNCR,0.189647799799007,0.562292894225201,0.297654751973049,4
50,25,0.0,MVTCR,0.17558552361195,0.561911554928588,0.295665456931845,4
50,25,0.0,MSLCR,0.180217828683479,0.567967973662156,0.300472752005436,4
51,25,0.0,MVNR,0.291016335428557,0.589748357692671,0.25819003577697,4
51,25,0.0,MVTR,0.291016389256727,0.589748402349385,0.258190072602159,4
51,25,0.0,MSLR,0.291042629753208,0.589770549170775,0.258208039596616,4
51,25,0.0,MVNCR,0.291016335428558,0.589748357692673,0.25819003577697,4
51,25,0.0,MVTCR,0.291016515833116,0.589748507186097,0.258190159209877,4
51,25,0.0,MSLCR,0.297686229471338,0.595065047384868,0.262670350647709,4
52,25,0.0,MVNR,0.226019024058702,0.740466410454296,0.38740897587889,4
52,25,0.0,MVTR,0.226364985564009,0.726888187160556,0.378494260594351,4
52,25,0.0,MSLR,0.222033228892024,0.686875893159436,0.35213133855501,4
52,25,0.0,MVNCR,0.226019024058702,0.740466410454288,0.387408975878886,4
52,25,0.0,MVTCR,0.226364985559331,0.726888187114793,0.378494260565587,4
52,25,0.0,MSLCR,0.225664431381042,0.659688423318394,0.333673454373811,4
53,25,0.0,MVNR,0.244382165031957,0.615834605786809,0.269331327773416,4
53,25,0.0,MVTR,0.244527976989815,0.61615832030818,0.269464265048828,4
53,25,0.0,MSLR,0.243996377818487,0.614853895548722,0.268901171316975,4
53,25,0.0,MVNCR,0.244382165031958,0.615834605786815,0.269331327773418,4
53,25,0.0,MVTCR,0.244527977648778,0.616158321901809,0.269464265731684,4
53,25,0.0,MSLCR,0.246450896534019,0.623115034969867,0.272815195114005,4
54,25,0.0,MVNR,0.268607585014848,0.523268452101005,0.266406931593055,4
