Rep,N,Crate,Model,MSE_R,MSE_C,nu
36,25,0.0,MSLR,4.33448665451369,,4
36,25,0.0,MVNCR,4.29709043858072,,4
36,25,0.0,MVTCR,4.33834751909745,,4
36,25,0.0,MSLCR,4.36173504459722,,4
37,25,0.0,MVNR,3.07771249431424,,4
37,25,0.0,MVTR,3.07727619037083,,4
37,25,0.0,MSLR,3.0780130091256,,4
37,25,0.0,MVNCR,3.07771249431424,,4
37,25,0.0,MVTCR,3.07727619037088,,4
37,25,0.0,MSLCR,3.07797349497101,,4
38,25,0.0,MVNR,2.37635802020873,,4
38,25,0.0,MVTR,2.37639311717535,,4
38,25,0.0,MSLR,2.37640601061683,,4
38,25,0.0,MVNCR,2.37635802020873,,4
38,25,0.0,MVTCR,2.37639312068149,,4
38,25,0.0,MSLCR,2.37672456621054,,4
39,25,0.0,MVNR,2.98170860126574,,4
39,25,0.0,MVTR,2.98313158592856,,4
39,25,0.0,MSLR,2.9825211681935,,4
39,25,0.0,MVNCR,2.98170860126574,,4
39,25,0.0,MVTCR,2.98313158592865,,4
39,25,0.0,MSLCR,2.98255818979619,,4
40,25,0.0,MVNR,3.78679698404088,,4
40,25,0.0,MVTR,3.82799269303857,,4
40,25,0.0,MSLR,3.82537632182568,,4
40,25,0.0,MVNCR,3.78679698404088,,4
40,25,0.0,MVTCR,3.82799269302333,,4
40,25,0.0,MSLCR,3.81921393896162,,4
41,25,0.0,MVNR,4.1344107395631,,4
41,25,0.0,MVTR,4.10330810829398,,4
41,25,0.0,MSLR,4.10322554913302,,4
41,25,0.0,MVNCR,4.13441073956309,,4
41,25,0.0,MVTCR,4.10330810820665,,4
41,25,0.0,MSLCR,4.10122439608668,,4
42,25,0.0,MVNR,9.22227722449512,,4
42,25,0.0,MVTR,9.23694125986971,,4
42,25,0.0,MSLR,9.23312815718503,,4
42,25,0.0,MVNCR,9.22227722449512,,4
42,25,0.0,MVTCR,9.23694125987432,,4
42,25,0.0,MSLCR,9.23164906703513,,4
43,25,0.0,MVNR,3.55398736645113,,4
43,25,0.0,MVTR,3.56737881034227,,4
43,25,0.0,MSLR,3.56806458115726,,4
43,25,0.0,MVNCR,3.55398736645113,,4
43,25,0.0,MVTCR,3.56737881036263,,4
43,25,0.0,MSLCR,3.56991424000259,,4
44,25,0.0,MVNR,3.00346125725348,,4
44,25,0.0,MVTR,2.99528460502795,,4
44,25,0.0,MSLR,2.99373799320398,,4
44,25,0.0,MVNCR,3.00346125725347,,4
44,25,0.0,MVTCR,2.9952846051368,,4
44,25,0.0,MSLCR,2.99441914578177,,4
45,25,0.0,MVNR,3.24774376205551,,4
45,25,0.0,MVTR,3.24669913466248,,4
45,25,0.0,MSLR,3.24742672229977,,4
45,25,0.0,MVNCR,3.2477437620555,,4
45,25,0.0,MVTCR,3.24669913466608,,4
45,25,0.0,MSLCR,3.24579687887188,,4
46,25,0.0,MVNR,2.509762889344,,4
46,25,0.0,MVTR,2.50976857648428,,4
46,25,0.0,MSLR,2.50975497799653,,4
46,25,0.0,MVNCR,2.509762889344,,4
46,25,0.0,MVTCR,2.50976885925775,,4
46,25,0.0,MSLCR,2.50921082009854,,4
47,25,0.0,MVNR,3.43683079425215,,4
47,25,0.0,MVTR,3.43683082880756,,4
47,25,0.0,MSLR,3.43683356380358,,4
47,25,0.0,MVNCR,3.43683079425215,,4
47,25,0.0,MVTCR,3.43683082358946,,4
47,25,0.0,MSLCR,3.4381587743848,,4
48,25,0.0,MVNR,2.83982592993627,,4
48,25,0.0,MVTR,2.8473082482698,,4
48,25,0.0,MSLR,2.84874849470618,,4
48,25,0.0,MVNCR,2.83982592993627,,4
48,25,0.0,MVTCR,2.84730824853696,,4
48,25,0.0,MSLCR,2.84762720832322,,4
49,25,0.0,MVNR,2.44376780096447,,4
49,25,0.0,MVTR,2.46576138768502,,4
49,25,0.0,MSLR,2.47500932242393,,4
49,25,0.0,MVNCR,2.44376780096447,,4
49,25,0.0,MVTCR,2.46576138768731,,4
49,25,0.0,MSLCR,2.4673551339362,,4
50,25,0.0,MVNR,1.92469336626695,,4
50,25,0.0,MVTR,1.93008430134161,,4
50,25,0.0,MSLR,1.93220947525943,,4
50,25,0.0,MVNCR,1.92469336626695,,4
50,25,0.0,MVTCR,1.93008430133281,,4
50,25,0.0,MSLCR,1.92801387359588,,4
51,25,0.0,MVNR,2.56899186930835,,4
51,25,0.0,MVTR,2.56899176366968,,4
51,25,0.0,MSLR,2.56898869677768,,4
51,25,0.0,MVNCR,2.56899186930834,,4
51,25,0.0,MVTCR,2.56899174754223,,4
51,25,0.0,MSLCR,2.56850030708298,,4
52,25,0.0,MVNR,4.15711746138995,,4
52,25,0.0,MVTR,4.15856833877226,,4
52,25,0.0,MSLR,4.16283368210162,,4
52,25,0.0,MVNCR,4.15711746138995,,4
52,25,0.0,MVTCR,4.15856833877362,,4
52,25,0.0,MSLCR,4.17003532902988,,4
53,25,0.0,MVNR,2.98872789246525,,4
53,25,0.0,MVTR,2.98874507163222,,4
53,25,0.0,MSLR,2.98875074448332,,4
53,25,0.0,MVNCR,2.98872789246525,,4
53,25,0.0,MVTCR,2.98874507160356,,4
53,25,0.0,MSLCR,2.99083164225324,,4
54,25,0.0,MVNR,2.11831332337323,,4
54,25,0.0,MVTR,2.12792016605881,,4
54,25,0.0,MSLR,2.13287498638944,,4
54,25,0.0,MVNCR,2.11831332337322,,4
54,25,0.0,MVTCR,2.12792016605833,,4
54,25,0.0,MSLCR,2.12996162536073,,4
55,25,0.0,MVNR,2.17206288543261,,4
55,25,0.0,MVTR,2.17207009877801,,4
55,25,0.0,MSLR,2.17204696352953,,4
55,25,0.0,MVNCR,2.17206288543261,,4
55,25,0.0,MVTCR,2.17206986467919,,4
55,25,0.0,MSLCR,2.17117416411131,,4
56,25,0.0,MVNR,3.13137235871482,,4
56,25,0.0,MVTR,3.13175343832231,,4
56,25,0.0,MSLR,3.13143581419324,,4
56,25,0.0,MVNCR,3.13137235871482,,4
56,25,0.0,MVTCR,3.13175343864985,,4
56,25,0.0,MSLCR,3.14245368261888,,4
57,25,0.0,MVNR,2.72265954681718,,4
57,25,0.0,MVTR,2.71137973142335,,4
57,25,0.0,MSLR,2.71147659563124,,4
57,25,0.0,MVNCR,2.72265954681717,,4
57,25,0.0,MVTCR,2.71137973142303,,4
57,25,0.0,MSLCR,2.71328829114309,,4
58,25,0.0,MVNR,2.30133715295039,,4
58,25,0.0,MVTR,2.30147608341399,,4
58,25,0.0,MSLR,2.30142185095991,,4
58,25,0.0,MVNCR,2.30133715295039,,4
58,25,0.0,MVTCR,2.30161390701855,,4
58,25,0.0,MSLCR,2.3026027948881,,4
59,25,0.0,MVNR,2.70542783158612,,4
59,25,0.0,MVTR,2.70649122924965,,4
59,25,0.0,MSLR,2.70785739600322,,4
59,25,0.0,MVNCR,2.70542783158611,,4
59,25,0.0,MVTCR,2.70649122924238,,4
59,25,0.0,MSLCR,2.71076365012138,,4
60,25,0.0,MVNR,2.56328151248921,,4
60,25,0.0,MVTR,2.56327786087879,,4
60,25,0.0,MSLR,2.56329057214239,,4
