Rep,N,Crate,Model,LogLik,AIC,BIC,nu
22,25,0.0,MVNR,-215.038670536764,466.077341073527,488.017105921155,4
22,25,0.0,MVTR,-215.038687253058,468.077374506116,491.236015178611,4
22,25,0.0,MSLR,-215.043470577744,468.086941155489,491.245581827984,4
22,25,0.0,MVNCR,-215.038670536764,466.077341073527,488.017105921155,4
22,25,0.0,MVTCR,-215.038784162484,468.077568324969,491.236208997465,4
22,25,0.0,MSLCR,-215.477520116242,468.955040232484,492.11368090498,4
23,25,0.0,MVNR,-232.437198307789,500.874396615579,522.814161463206,4
23,25,0.0,MVTR,-232.305728373847,502.611456747694,525.77009742019,4
23,25,0.0,MSLR,-232.195428760352,502.390857520705,525.549498193201,4
23,25,0.0,MVNCR,-232.437198307789,500.874396615579,522.814161463206,4
23,25,0.0,MVTCR,-232.30572837409,502.611456748181,525.770097420676,4
23,25,0.0,MSLCR,-232.714833283217,503.429666566434,526.58830723893,4
24,25,0.0,MVNR,-223.446663724424,482.893327448848,504.833092296476,4
24,25,0.0,MVTR,-223.446671518905,484.89334303781,508.051983710305,4
24,25,0.0,MSLR,-223.450340515093,484.900681030185,508.059321702681,4
24,25,0.0,MVNCR,-223.446663724424,482.893327448848,504.833092296476,4
24,25,0.0,MVTCR,-223.446673037546,484.893346075093,508.051986747588,4
24,25,0.0,MSLCR,-225.018940821268,488.037881642536,511.196522315032,4
25,25,0.0,MVNR,-221.719898625137,479.439797250274,501.379562097901,4
25,25,0.0,MVTR,-220.865745091437,479.731490182875,502.890130855371,4
25,25,0.0,MSLR,-220.812046546487,479.624093092975,502.782733765471,4
25,25,0.0,MVNCR,-221.719898625137,479.439797250274,501.379562097901,4
25,25,0.0,MVTCR,-220.865745091436,479.731490182872,502.890130855368,4
25,25,0.0,MSLCR,-220.815580441521,479.631160883042,502.789801555538,4
26,25,0.0,MVNR,-239.80735178578,515.614703571561,537.554468419188,4
26,25,0.0,MVTR,-239.685946486718,517.371892973437,540.530533645932,4
26,25,0.0,MSLR,-239.788475545373,517.576951090747,540.735591763242,4
26,25,0.0,MVNCR,-239.80735178578,515.614703571561,537.554468419188,4
