Rep,N,Crate,Model,Squared_Error1,Squared_Error2,Squared_Error3,Squared_Error4,Squared_Error5,Squared_Error6,Squared_Error7,Squared_Error8,Squared_Error9,Squared_Error10,Squared_Error11,Squared_Error12,Squared_Error13,Squared_Error14,Squared_Error15,Squared_Error16,Squared_Error17,Squared_Error18,Squared_Error19,MSE,nu
10,25,0.0,MVNR,0.20400526926133,1.05170569682068,0.104414417141762,2.70997100158081,0.411575310002755,0.0341234511523427,0.74603511558982,0.0185739783434356,1.13592343275288,0.266880198140269,0.00104977212772,0.145944421351043,1.21760367011196,0.0044915643388115,0.196154646806175,0.0183303971230265,0.191816588983362,0.802367016901041,0.0,0.514498108251623,4
10,25,0.0,MVTR,0.0884084797215162,0.506736379404418,0.033406891409581,0.593332771934731,0.0776967049544943,0.0822422930303477,0.392267169633915,0.0087601160323919,0.254498356030204,0.347317120958583,0.0152457012978022,0.084523753903309,0.566919542855567,0.0102769581760045,0.0515160859124362,0.0130426920511852,0.230264586155012,0.371429788945572,19.5152367566646,0.207104744022615,4
10,25,0.0,MSLR,0.0999230271467242,0.520377967826144,0.0388933515562015,0.070028649990922,0.0158399647820047,0.478794689781588,0.295649901951943,5.75408081486426e-06,0.0075176291762366,0.155916136144074,0.0159567354409251,0.115843671416171,0.0037591496147234,5.0414980467583e-05,0.07286061997285,0.0319153497954821,0.050805849295399,0.0425159425596718,0.26585604571692,0.112036378084019,4
10,25,0.0,MVNCR,0.20400526926138,1.0517056968211,0.104414417141822,2.70997100158077,0.411575310002764,0.0341234511523409,0.7460351155898,0.0185739783434336,1.13592343275286,0.266880198140258,0.00104977212772,0.145944421351035,1.21760367011201,0.0044915643388117,0.196154646806173,0.0183303971230259,0.191816588983357,0.80236701690104,0.0,0.514498108251649,4
10,25,0.0,MVTCR,0.088408479807146,0.506736379739143,0.0334068914512433,0.593332773127151,0.0776967051480346,0.0822422926714916,0.392267169898444,0.008760116045716,0.254498356753434,0.347317121063564,0.0152457012634333,0.0845237539788273,0.566919543692175,0.0102769581668423,0.0515160859898613,0.0130426920575823,0.230264586136447,0.371429789404852,19.5152366352773,0.207104744244188,4
10,25,0.0,MSLCR,0.0967483404016009,0.497556398636813,0.0355779683089819,0.0435459518271392,0.010779405996922,0.557001580739048,0.282920664499287,0.0002125235115574,0.0254413824079285,0.14230120251079,0.0190334533963137,0.111024459342343,2.64875449409584e-06,1.41589527093883e-05,0.0676540037790588,0.0317032423784582,0.0468770182888087,0.0264650189537763,0.0094931209428366,0.110825523482557,4
11,25,0.0,MVNR,0.002059914017538,0.509997524773432,0.136134733376611,0.99391521424255,1.18881108520991,0.928580958588722,2.21532955877463,2.4363133446434,3.23560572629603,0.0802064779547227,0.25031840883914,1.26993450451446,5.20126602717608,0.344825354732523,0.441633786463251,0.137277308087537,0.326473368116195,0.0008098669796547,0.0,1.09441628682147,4
11,25,0.0,MVTR,0.0020606452761825,0.509997749086031,0.136133575975397,0.993829301784466,1.18875601237078,0.928503983300461,2.21525649969001,2.43624960821556,3.23550809641659,0.080202670254561,0.250318030268442,1.26994201566683,5.20070759118803,0.344799971678303,0.441611958954038,0.137273129092403,0.326432591022284,0.0008084428978531,9312843922.72673,1.09435510406323,4
11,25,0.0,MSLR,0.0020836675653125,0.510031375899626,0.136102061915435,0.892367340404437,1.11111571336153,0.786524810067158,2.07947445637038,2.28859584171486,2.89386455796699,0.0719036847978907,0.230354857987573,1.18965879111928,4.698221487084,0.317984991140268,0.408909373283491,0.12478303310991,0.300304887648654,2.05103293256876e-06,5246.4729636096,1.00234905458165,4
11,25,0.0,MVNCR,0.002059914017542,0.509997524773559,0.13613473337664,0.993915214242552,1.18881108520991,0.928580958588723,2.21532955877464,2.4363133446434,3.23560572629603,0.0802064779547206,0.250318408839138,1.26993450451446,5.20126602717609,0.344825354732524,0.441633786463252,0.137277308087537,0.326473368116193,0.0008098669796547,0.0,1.09441628682148,4
11,25,0.0,MVTCR,0.0020606456872817,0.509997748975305,0.136133575204703,0.993829251136825,1.18875597988823,0.928503937905925,2.21525645661475,2.43624957062289,3.23550803885651,0.0802026680177582,0.250318030048746,1.26994202011568,5.20070726218308,0.344799956712285,0.441611946071168,0.13727312662649,0.326432567016304,0.000808442058746,9301873943.08202,1.0943550679857,4
11,25,0.0,MSLCR,0.0049226466318565,0.526043822285664,0.135572031845958,0.162987246310148,0.488099656568865,0.0297180472107075,1.00068893043539,1.15010489639256,0.698644305860603,0.0185039328017898,0.106545792137092,0.665640603672505,0.822098973450288,0.101430655593468,0.160609797735335,0.039651215547058,0.0671447092679476,0.0806494835268045,3.65856492087836,0.347725374848557,4
12,25,0.0,MVNR,0.0580774373627492,0.871897510159716,0.144231993187069,0.0281276813114051,0.29901776201888,0.0050809522790469,0.0030494436501385,0.24589311278166,10.6141136133042,0.545081781884417,0.0921270861068313,2.06757747183104,0.8310797194348,1.82862454551312e-05,0.193279884713348,0.0068213314412215,0.0172780077205671,0.019784187664353,0.0,0.891252070172051,4
12,25,0.0,MVTR,0.154614823830485,0.944602076958267,0.131190719951626,0.0032708505267922,0.203138894290821,0.0707203383784259,0.0043868552200474,0.049634681332499,2.24017615838857,0.370025802298582,0.0826213444974645,0.316304431685024,0.0293327261130205,0.0044889155758362,0.209373432678949,0.0026921601366146,0.0030414448263886,0.0206080300386546,9.65643010317512,0.268901315929337,4
12,25,0.0,MSLR,0.142152219181893,0.790618611811646,0.108160357418224,0.0944543199806963,0.0665080036752345,0.483098399497674,0.0003644731871638,0.0086720363317433,0.205018003476959,0.260229679028349,0.104764286124745,0.0601880012148188,0.578485324418421,0.0022487923272778,0.0458957094265892,0.021012829864819,0.0040176102117178,0.179676335419917,0.0161292570654825,0.175309166255438,4
12,25,0.0,MVNCR,0.0580774373627468,0.871897510159842,0.144231993187096,0.0281276813114049,0.299017762018876,0.0050809522790451,0.0030494436501381,0.245893112781654,10.6141136133042,0.545081781884418,0.0921270861068297,2.06757747183107,0.831079719434823,1.82862454551327e-05,0.193279884713347,0.0068213314412212,0.0172780077205667,0.0197841876643529,0.0,0.891252070172063,4
12,25,0.0,MVTCR,0.15461482384684,0.944602077008521,0.131190719950576,0.0032708505294308,0.203138894290147,0.0707203383985004,0.0043868552177047,0.049634681316991,2.24017615775622,0.370025802292516,0.0826213444876357,0.316304431567142,0.0293327261468121,0.0044889155804356,0.209373432723007,0.0026921601361314,0.0030414448286222,0.0206080300210676,9.65643014138757,0.26890131589435,4
