Rep,N,Crate,Model,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,EST11,EST12,EST13,EST14,EST15,EST16,EST17,EST18,EST19,nu
30,200,0.05,MVNR,1.97276396993162,2.78234692060457,-1.35520493279303,1.87357033880012,0.20762132152505,2.95149393259999,0.304373640441916,0.502315320776726,3.28443005037568,0.38244258287623,0.205974008105255,0.203338808456972,2.78232027588201,0.505674417472666,0.569652502182625,0.559729478378601,0.229047849770116,1.67955938329126,0.0,4
30,200,0.05,MVTR,1.9300452399146,2.79104935179074,-1.36200825763537,1.52181767394469,0.222179148725927,2.47082532538252,0.348016808756958,0.421613510613711,2.72350985361611,0.233603168577236,0.198783998800111,0.340224018184825,1.85155320121199,0.302593234293034,0.568656724522919,0.493592413844072,0.25297227857049,1.31370999706494,10.1203280177957,4
30,200,0.05,MSLR,1.9300410203326,2.80550996440683,-1.37003549206566,1.15224852073492,0.179075968123659,1.86817585308695,0.267329565526733,0.305514232628604,2.07159304283341,0.186526847357513,0.157842400318601,0.276849217980524,1.3729366019417,0.231265829106088,0.425464856882263,0.367355764580178,0.191145485690346,0.974245942491171,5.00659086327456,4
30,200,0.05,MVNCR,1.93966835254001,2.76782118997568,-1.34799590010819,2.04563791441453,0.225577295877863,3.20406204343016,0.34393250812704,0.507586296928232,3.58080963113004,0.478273836160831,0.198773463378485,0.178470667418757,3.04958652162821,0.534826310660453,0.605509324219291,0.618371958768743,0.273221447575441,1.82902873311929,0.0,4
30,200,0.05,MVTCR,1.92768304637501,2.78138996276254,-1.35712029243141,1.49455247424688,0.203700680600731,2.38990565257131,0.355052195784337,0.411295136006708,2.65354649413452,0.218837188295187,0.178717412230581,0.299206587197029,1.81644859117938,0.259127838965449,0.566379988038118,0.489182296715811,0.243668192984586,1.29880474274926,5.49972195471997,4
30,200,0.05,MSLCR,1.8755790965581,2.74028496280179,-1.33820860776245,1.72782603235818,0.163685384324339,2.56442978185319,0.285696359604636,0.286762149820519,2.78771138706207,0.45050146309981,0.125847341130659,0.137858496728264,2.83497278735436,0.398188830636128,0.46160811944545,0.467791969266761,0.247591159705785,1.47595419908078,4.253683699873,4
31,200,0.05,MVNR,2.11230951394003,3.15860033766229,-1.5721054688485,2.04634802963295,0.652736543303047,2.83744837158722,0.804663975980811,0.726971047825508,3.14546592522738,0.678125182265033,-0.0578244049573872,0.296386324399971,3.54384230066958,0.537095505929928,0.388292198000268,0.458624732223952,0.713590399212037,1.63719376004068,0.0,4
31,200,0.05,MVTR,2.06865149871817,3.15755676023877,-1.57079435945833,1.74795114630602,0.57664140429569,2.55549621584512,0.717261989200163,0.647657432169966,2.87937926722143,0.569401537519675,0.0283361543460401,0.459092710942481,2.90274907632242,0.536655545172698,0.406872225111543,0.479824417645453,0.639252958958,1.51118140010127,16.5585624376298,4
31,200,0.05,MSLR,2.0674645447714,3.14488650897404,-1.56351397191907,1.34652785418705,0.451892758209849,1.98500195386211,0.547307205399953,0.487667284041475,2.22841643578631,0.422896543241169,0.0146769310561546,0.360395795000179,2.19790826258712,0.419996311014428,0.31071652340157,0.37242420827059,0.490151382429342,1.17548327881428,6.18508116910857,4
31,200,0.05,MVNCR,2.07864700249711,3.13399137814707,-1.55876655295165,2.24280238875942,0.73230642233625,3.10618588545447,0.890027594107667,0.840462871387972,3.44319622937354,0.728101765767271,-0.121015285829958,0.279344532583022,3.85144237504627,0.611687431135059,0.446324324400805,0.510426428034661,0.770498219428085,1.7916858578527,0.0,4
31,200,0.05,MVTCR,2.05582289221095,3.154418406039,-1.57060195086861,1.66305741644369,0.521071377417296,2.49345730373689,0.690200101103606,0.647827292486189,2.87261790074083,0.552346921326196,0.0236449483725396,0.49964070188911,2.76627671214736,0.546957968006243,0.430548737155988,0.500699305622146,0.595245678675791,1.49109419580266,6.49999436941992,4
31,200,0.05,MSLCR,2.03492615598767,3.02077856816235,-1.50787111833309,1.53636679888564,0.490922695116766,2.58630786302205,0.574089496848664,0.639028019939671,2.78860760773897,0.530433798042823,-0.138052984534773,0.226905112948851,3.16781340756185,0.478620239576662,0.386538593337209,0.432382818144482,0.575489904076054,1.49252628713825,4.10855571455556,4
32,200,0.05,MVNR,2.00018318469551,3.32537502410701,-1.6493156680838,1.72412108975939,0.516636415941891,3.36897117302288,0.569464594993464,0.270963793046915,3.39639227375615,0.514537733215717,0.54028022845396,0.248264899012985,3.43367086187614,0.402725723475861,0.21475012937594,0.247012253990651,0.464427352764484,1.27992786020601,0.0,4
32,200,0.05,MVTR,1.94859122866018,3.25345710522821,-1.59624121062249,1.44534091808179,0.387132487791879,2.77946194129291,0.515850067884445,0.382482566540342,2.79251070203845,0.433907058758217,0.346700161136724,0.319035849926515,2.91624217758515,0.342218519270571,0.189318178545489,0.322348086063381,0.33992345107734,1.15697879085873,13.6044010316997,4
32,200,0.05,MSLR,1.94803857106958,3.2471115757909,-1.5922135202648,1.06913292836009,0.276382905988466,2.02786245071179,0.379272626778308,0.294904957522824,2.0246166460612,0.322394184046204,0.253988094756413,0.266702827924172,2.15839772626307,0.254227067226553,0.142563965260907,0.252264963083897,0.245819158671364,0.85957407425991,5.2652507182064,4
32,200,0.05,MVNCR,1.97088710502311,3.2952574745917,-1.63283160040901,1.88127084936974,0.541236606971805,3.671649861401,0.623921341724243,0.249899754725898,3.7136861487216,0.573659882378033,0.569086296214736,0.222650792599409,3.76299041740973,0.436002921852435,0.221142311218927,0.251873987035839,0.541011148869739,1.39473450421964,0.0,4
32,200,0.05,MVTCR,1.92828740004158,3.21437172686255,-1.56717380177959,1.37766235391352,0.365988161872855,2.6687651257453,0.50453743916481,0.410602876103606,2.62511061750678,0.432099268407933,0.274591490646468,0.283138098862552,2.77952171419586,0.321549723656188,0.184879532417119,0.342156739203774,0.310619085173306,1.14281592351956,5.4973794371449,4
32,200,0.05,MSLCR,1.90761865452128,3.23838876984147,-1.59612019919736,1.40410844067557,0.322598860623735,2.89950768422676,0.496245705794686,0.205795196825329,3.04992386994207,0.37248983513673,0.307157638555442,0.180405905180929,2.8831623054717,0.303513169763039,0.148932588422087,0.22007845213166,0.372071540324028,1.14879711450507,4.11337555270507,4
33,200,0.05,MVNR,1.95201169813176,3.3675383518051,-1.66753437327416,1.45917427191244,0.452467062057992,3.86726908876832,0.252501341401844,0.589761425603682,2.72353010524949,0.372489299526084,-0.243600026612812,0.406599763919918,3.34938634364998,0.446692185526022,0.399500879321794,0.415988068077272,0.378755494051787,1.73244405264205,0.0,4
33,200,0.05,MVTR,1.93537715311898,3.28002714559052,-1.62342324901117,1.32764757387341,0.454948668393805,3.08305720164839,0.289451937064415,0.515841938719585,2.3743968817518,0.320010050789622,-0.0595553823274477,0.339633602480737,2.62305389563846,0.388606626358699,0.40434262987987,0.384789986202412,0.283169195406624,1.4008194102748,11.8077385952699,4
33,200,0.05,MSLR,1.93584383171937,3.26104522122887,-1.61490226177338,0.977955801080013,0.349042860589059,2.2316828472354,0.21674679806542,0.386521383156839,1.76140853459975,0.23404396250341,-0.0283926012622984,0.244979601456859,1.89356736228208,0.291821493437155,0.320073348538007,0.283594144834963,0.209688935289459,1.0304198358494,4.93307788757856,4
33,200,0.05,MVNCR,1.9223097083068,3.34109017542414,-1.65428149750139,1.60241357262841,0.526171065733701,4.24824160095877,0.291437781234835,0.625603465617415,2.9671968432411,0.495621095526276,-0.277366407232135,0.50500101553067,3.69508926437593,0.491905719712883,0.45058139744456,0.464926338143662,0.422102021626285,1.88557322330324,0.0,4
33,200,0.05,MVTCR,1.93969996569052,3.27470157637067,-1.61924094619032,1.34085393331743,0.441317287789226,2.88437075879001,0.297879160090351,0.463935495961515,2.30134289686773,0.351671040354876,-0.0312969041434676,0.333610097143167,2.50608527422744,0.364622560171423,0.372632819089657,0.362838865653167,0.237755604037824,1.31989272707219,5.49353079945954,4
33,200,0.05,MSLCR,1.89226029150463,3.23079302769898,-1.60038673423703,1.21778183402429,0.410390629723825,3.26016447428626,0.257543079505052,0.479375644368513,2.52168666764273,0.388275964895925,-0.158968639125492,0.386471600718937,2.75703943507234,0.357879486164618,0.339079514853342,0.320830029918448,0.292075221890835,1.4141789752031,4.00233233092254,4
34,200,0.05,MVNR,2.14956450496764,2.84287950176189,-1.4711654456472,1.492646090086,0.38814532303421,3.03210453476733,0.394467812086756,0.193706151126476,2.51809509829963,0.505007964941286,0.647158329676658,0.454492424848588,3.23533121136079,0.357423687326824,0.33774556228,0.0023145118026547,0.30799696378951,1.29229065736374,0.0,4
34,200,0.05,MVTR,2.12611619422536,2.86856153822353,-1.48202681533257,1.32691461216702,0.384970073773734,2.93546328938594,0.358392739208906,0.139518073775666,2.35390776950954,0.502923877301303,0.641632315608953,0.410629311808236,3.0404366413233,0.329894199067719,0.33613119033466,0.0301743962290782,0.341541610105162,1.20093738570074,28.656383524805,4
34,200,0.05,MSLR,2.11680170297116,2.8788742784151,-1.48592222720159,1.01683340488697,0.307866935760314,2.33060450485327,0.283153636397374,0.10316641900086,1.85692249831736,0.406430108416025,0.503730858010081,0.319881706381325,2.39855934854099,0.257315425755287,0.273124604110162,0.0383708079845394,0.283859457319407,0.940157024715277,7.34215331907907,4
34,200,0.05,MVNCR,2.12234122152389,2.81924728484853,-1.45889715226633,1.62847377193317,0.415812803796855,3.29363984388692,0.426428329929031,0.209717791882672,2.75303457766612,0.545537693190561,0.698085879407027,0.491822525860426,3.54482692847468,0.405899683047894,0.380129716903067,0.0259540903484272,0.412401753647003,1.41949129503282,0.0,4
34,200,0.05,MVTCR,2.11089330958336,2.87841324820346,-1.4870624764907,1.26229545273658,0.382967979955858,2.95852554665547,0.315919634575916,0.072790940397182,2.31175590449914,0.505846699084199,0.657539464462213,0.379824502097307,3.00693278192722,0.333675860996439,0.331646325089754,0.0384227788404032,0.411342162856039,1.18588866067624,8.49820367013673,4
34,200,0.05,MSLCR,2.04461382081129,2.79279114049343,-1.43745203988179,1.29369350080156,0.343920233998717,2.87064345551091,0.326031672525504,0.0951812048805,2.51530751552023,0.43626704599354,0.559586655002479,0.293983240351753,2.8063253698224,0.319253997610627,0.30875730431782,0.0381193981916764,0.418969667728611,1.21064472711299,5.06366836112058,4
35,200,0.05,MVNR,2.09808473475515,2.69810600659963,-1.33632209701859,1.92507001437809,0.470963801281307,3.38232106992406,0.500972364232672,0.266769888837359,3.11193496172619,0.677509334297191,0.597116447688785,0.612927906566802,3.37609903248404,0.630936352334492,0.479018680777499,0.631684705714913,0.587689448989365,1.55534223282191,0.0,4
35,200,0.05,MVTR,2.09143500616297,2.69532570996292,-1.34121681345732,1.73398555297504,0.404759322110486,3.07707886201645,0.481661098898418,0.257869974138718,2.83888238116635,0.620202544156009,0.600890408358633,0.524402060593758,3.00958086298412,0.598531298447172,0.44832252587576,0.586780099583897,0.52283314818142,1.43453968489024,20.9108495519903,4
35,200,0.05,MSLR,2.08842303456951,2.69081211384951,-1.33853360136289,1.37085665208586,0.324668369113956,2.45112700125132,0.394434420129449,0.2126278840272,2.25474866254576,0.488890472560742,0.481341558637482,0.409416637024673,2.35581260364456,0.474311993036012,0.352556282415673,0.464936754155448,0.405668189448259,1.14071039457809,6.96735839156375,4
35,200,0.05,MVNCR,2.07164672260916,2.67386556113114,-1.32421330497909,2.09980588045613,0.569972540391126,3.68635769221341,0.512315535143282,0.344172564503923,3.3896670744855,0.707440868444797,0.619423664036157,0.612688418960864,3.68087213178695,0.688853127732004,0.509330178243399,0.671603742058697,0.617147511721719,1.69405466877401,0.0,4
35,200,0.05,MVTCR,2.10899397323052,2.68865758762677,-1.34780764270003,1.58819066241947,0.340708796885885,2.77062876440075,0.444112158746981,0.240291568891044,2.64331749904174,0.572391263279254,0.587959354635523,0.433945655528152,2.78297175670445,0.573276271037991,0.41340348254377,0.53922176799335,0.479715667620432,1.34039320104866,5.46776145672498,4
35,200,0.05,MSLCR,2.04182162531072,2.60098747059323,-1.29034599424779,1.56800229800893,0.42663215407942,3.01931995847188,0.333562334429827,0.308562261355556,2.82639432700614,0.465405727103094,0.430083518406265,0.362858679422351,2.64819942589805,0.499295791884413,0.348419520081773,0.492583153190843,0.389409258606457,1.25656265457829,3.94742348694668,4
36,200,0.05,MVNR,2.17414455210602,3.01893303087166,-1.50153750492761,1.60865487196934,0.531225660953738,3.14382071614325,0.331997385229768,0.48824240041676,2.52009167309337,0.685602594268024,0.861296877655364,0.501025914765805,3.25663194487795,0.621011598859175,0.715728395074853,0.53483239953339,0.393826074560797,1.70559534780031,0.0,4
36,200,0.05,MVTR,2.11599524504449,2.9887109182712,-1.48681014864554,1.36773528548696,0.424674355866316,2.60164306747827,0.337493759481508,0.446955065173114,2.14160694391663,0.61951367876136,0.776380614308691,0.459613690390881,2.75074831159227,0.485770800208656,0.585498593050433,0.47493079822083,0.383390051876991,1.39061331485,11.8109913272788,4
36,200,0.05,MSLR,2.12511979432311,2.98674527525696,-1.48739115269958,1.00922338944365,0.309680519472408,1.92391081123642,0.255765790681802,0.329864652228904,1.60643957993217,0.451730819799051,0.571560784535369,0.332680946285966,2.04161031874626,0.368426197387064,0.427026810585532,0.363531009479683,0.290340902035348,1.03209131330447,5.04184278019491,4
36,200,0.05,MVNCR,2.14563653214148,2.99648325027968,-1.49003803787656,1.75149372183085,0.592273396322949,3.45509385542689,0.36204573164761,0.539244699704535,2.74038933194677,0.746634640097997,0.902506727846671,0.528258738653714,3.53726221693945,0.671321536435272,0.810750184764361,0.566572073059169,0.429511962522067,1.85226113964917,0.0,4
36,200,0.05,MVTCR,2.09576345154709,2.96506299172998,-1.47043360227021,1.32818345352121,0.40623545473562,2.51428577000536,0.334926118969107,0.436100699309668,2.05264219103523,0.604174860455398,0.728769694375027,0.445500105830882,2.59941796465495,0.418397323010835,0.564439023872239,0.428147028379904,0.366286821620172,1.29510026999604,5.49180002753666,4
36,200,0.05,MSLCR,2.08142345158226,2.91576752614144,-1.45007958532232,1.36863208138512,0.43090173424054,2.68322590623524,0.292437322386809,0.428256690154547,2.42509328249504,0.583724869921895,0.611700969674101,0.428320717898701,3.02700369608794,0.459977742626464,0.585419831469854,0.43101067364181,0.312795011479017,1.37725562259891,4.52713971373703,4
37,200,0.05,MVNR,2.01421836093173,2.66577739611114,-1.32577799779677,1.82885360135729,0.53297716670078,3.23715536011874,0.254323477090983,0.906288561976778,4.16758911039985,0.398993539074294,0.386237535643812,1.17180529967535,3.58069725057656,0.31570131363617,0.586036191518302,0.759296885985892,0.344578130068138,1.73059338870255,0.0,4
37,200,0.05,MVTR,2.01344062976412,2.56307290173639,-1.28627579459936,1.62793394250867,0.492210337919654,2.95150183561641,0.15527719452438,0.761413615813156,3.3789834097585,0.324673241807157,0.360525066528899,0.793046104152502,2.99793137835437,0.285630845919217,0.531370933866577,0.669429772746424,0.337247253978263,1.43877721422091,14.7838751639334,4
37,200,0.05,MSLR,2.00735655329914,2.57085398467134,-1.28906445833775,1.24290074357017,0.370721692027296,2.26138358375221,0.0962993893356072,0.5703916679922,2.55568227530607,0.236234564288317,0.255432269566929,0.553633450129009,2.25058085235241,0.215579712749936,0.39498952553678,0.514171878684434,0.240106809571329,1.08438300854836,5.78840034213431,4
37,200,0.05,MVNCR,1.98169048007501,2.6409320318845,-1.31281157851804,2.0000384204271,0.640725786107721,3.55677242119681,0.254368547805118,0.991015757971932,4.49274867415173,0.43589632056577,0.407553611374332,1.1988611785492,3.91407525054979,0.33517956777523,0.637074741412832,0.812673425310293,0.351863265722257,1.88513258636065,0.0,4
37,200,0.05,MVTCR,2.03165060146224,2.5091502592551,-1.27057261373123,1.57031850466423,0.505124432120423,2.88506476627787,0.157452649562044,0.730984274786205,3.17776399356991,0.325660510625006,0.37756798775155,0.747833092793921,2.87859441071375,0.268971381655738,0.527116127895937,0.627654758024772,0.384245288365249,1.34032603737631,5.49994397874097,4
37,200,0.05,MSLCR,1.95665161741882,2.5157907064801,-1.25956584089244,1.4317003532167,0.456471707549707,2.62723786963105,0.0803786199424889,0.641058871576949,2.98670881016612,0.255610866840513,0.261945535483018,0.561564835545114,2.70269871560237,0.219511945801009,0.405428730347587,0.514041679358867,0.221928406177739,1.36570944167661,3.56539233191379,4
38,200,0.05,MVNR,2.09624464152386,2.92189841275636,-1.4719119621901,2.01292900632489,0.996023385448267,3.74157447164568,0.248577612114085,0.665560836770938,2.97485493846896,0.151130786333647,-0.196463843168254,0.0027446215663176,2.97743161211147,0.614988039153621,0.681064701053867,0.325017177100435,0.100694327244321,1.75132296650196,0.0,4
38,200,0.05,MVTR,2.027414683754,2.9622428152405,-1.48135233670086,1.47445308891214,0.562648907486175,2.46978488767121,0.120842442516788,0.407122021434576,2.50765064132937,0.219877970101162,-0.0192795705994151,-0.0499606917727622,2.45601377616061,0.437280393620974,0.461963283149624,0.346541972007782,0.210204325835394,1.39354080643748,9.35972624177317,4
38,200,0.05,MSLR,2.01912137926887,2.97360008373377,-1.48521679107169,1.0601334545637,0.392849361204369,1.77079841478468,0.0650388285621807,0.282552693374459,1.81518136639403,0.163388090639568,-0.001699141514571,-0.0198396535956357,1.79168535364596,0.309550483129249,0.33346506845264,0.246582589856292,0.164274182884545,1.01952508580718,4.54313535761891,4
38,200,0.05,MVNCR,2.0683807824171,2.89918792020862,-1.46037775312519,2.18193512109536,1.04166070155497,4.06575803533436,0.244413780033964,0.716096190220454,3.24458837981761,0.139636014136369,-0.242176922596461,-0.0462910267596773,3.26006962416977,0.647388401529699,0.72882451565505,0.367011686020113,0.0935000057450332,1.90481345545932,0.0,4
38,200,0.05,MVTCR,2.02012521935501,2.96005083150024,-1.47852912445071,1.37953325838124,0.500095100791382,2.30132509685917,0.129359220921411,0.379196719593448,2.46702321186206,0.228947810174396,0.0041652977835872,-0.0612367785809793,2.35182576684339,0.389682298390244,0.41129755167364,0.381199306392576,0.22351776818143,1.30659093093938,4.49999999999953,4
38,200,0.05,MSLCR,2.00996263861413,2.83212720733979,-1.41843891379905,1.44595584630775,0.518285302822263,2.56996973595506,0.0240183581738897,0.37313140703545,2.56092993343589,0.0986872536777637,-0.154313668245476,-0.124726227040047,2.60374532214481,0.391474273074957,0.439665903443391,0.289584139126945,0.12588365712165,1.38629110593468,3.83015670346157,4
39,200,0.05,MVNR,2.04110388428661,3.13302976757161,-1.54448507745348,1.30824593281867,0.369852986405773,3.54281009831759,0.310270622907772,0.790188361093755,3.06613459403222,0.348256717480353,0.448173451768244,0.693478589892408,3.34174793167782,0.591033644667095,0.367362944508873,0.607835571528287,0.532108421749665,1.70535892514338,0.0,4
39,200,0.05,MVTR,2.03314384809303,3.06263947694626,-1.52038045403918,1.18089350738456,0.370495980972627,3.18402479093071,0.280502838243563,0.785094922917574,2.65309289862689,0.294760198255901,0.400380279386031,0.573299058696486,2.84156661074876,0.509822126350209,0.420134859894496,0.466174340998888,0.41880743252094,1.44034657600561,16.1104997364753,4
39,200,0.05,MSLR,2.0279169570948,3.06500233763996,-1.52107723532259,0.897388236888613,0.274949280111782,2.39967141459539,0.208461315755613,0.596475692490915,2.00791884669869,0.223086654796121,0.283528911511101,0.416660785702913,2.13273953697754,0.378093477509021,0.324290589863108,0.33322122175412,0.300693026715885,1.07292704704019,5.83225578352151,4
39,200,0.05,MVNCR,2.0145746702164,3.11049353059138,-1.53429509369572,1.42700862024138,0.404143394472492,3.867771808909,0.338165114218162,0.852771675136065,3.3332408424931,0.387571785050884,0.396531041102819,0.69520647857433,3.62752151933275,0.663503197892392,0.390185337752371,0.682870456404947,0.553207765993656,1.87516787176311,0.0,4
39,200,0.05,MVTCR,2.04107252713685,3.01819869760856,-1.50791034361013,1.16055384211896,0.374424268886331,3.11515372924318,0.265459912779259,0.782722249113477,2.57645275132007,0.280540450932792,0.361837483403858,0.519853885605594,2.70116704444497,0.506558246506682,0.42702361445,0.444417730490844,0.390934839112996,1.39587967695414,6.49689040204317,4
39,200,0.05,MSLCR,1.98012166677617,2.98378180435554,-1.47269120772707,1.12474751782991,0.315001219544353,3.22508614135762,0.252953159644117,0.65443306284413,2.73232369340083,0.289559741346366,0.186168239681942,0.430708081789393,2.87617598865515,0.512149929278916,0.274771339103781,0.503533984978744,0.354772846364593,1.46088497687132,4.33638717044264,4
