Rep,N,Crate,Model,run_sec,nu
60,25,0.0,MVNCR,0.0199999999999996,4
60,25,0.0,MVTCR,0.0100000000000016,4
60,25,0.0,MSLCR,0.0099999999999997,4
61,25,0.0,MVNR,0.0,4
61,25,0.0,MVTR,0.0099999999999997,4
61,25,0.0,MSLR,0.0199999999999996,4
61,25,0.0,MVNCR,0.0,4
61,25,0.0,MVTCR,0.0300000000000011,4
61,25,0.0,MSLCR,0.0199999999999996,4
62,25,0.0,MVNR,0.0,4
62,25,0.0,MVTR,0.0099999999999997,4
62,25,0.0,MSLR,0.0199999999999996,4
62,25,0.0,MVNCR,0.0,4
62,25,0.0,MVTCR,0.0300000000000011,4
62,25,0.0,MSLCR,0.0,4
63,25,0.0,MVNR,0.0,4
63,25,0.0,MVTR,0.0099999999999997,4
63,25,0.0,MSLR,0.0199999999999996,4
63,25,0.0,MVNCR,0.0,4
63,25,0.0,MVTCR,0.0399999999999991,4
63,25,0.0,MSLCR,0.0199999999999996,4
64,25,0.0,MVNR,0.0,4
64,25,0.0,MVTR,0.0300000000000011,4
64,25,0.0,MSLR,0.0299999999999994,4
64,25,0.0,MVNCR,0.0,4
64,25,0.0,MVTCR,0.0500000000000007,4
64,25,0.0,MSLCR,0.0199999999999996,4
65,25,0.0,MVNR,0.0,4
65,25,0.0,MVTR,0.0199999999999996,4
65,25,0.0,MSLR,0.0,4
65,25,0.0,MVNCR,0.0,4
65,25,0.0,MVTCR,0.0300000000000011,4
65,25,0.0,MSLCR,0.0099999999999997,4
66,25,0.0,MVNR,0.0199999999999996,4
66,25,0.0,MVTR,0.0099999999999997,4
66,25,0.0,MSLR,0.0299999999999994,4
66,25,0.0,MVNCR,0.0,4
66,25,0.0,MVTCR,0.0299999999999994,4
66,25,0.0,MSLCR,0.0200000000000014,4
67,25,0.0,MVNR,0.0,4
67,25,0.0,MVTR,0.0199999999999996,4
67,25,0.0,MSLR,0.0300000000000011,4
67,25,0.0,MVNCR,0.0,4
67,25,0.0,MVTCR,0.0300000000000011,4
67,25,0.0,MSLCR,0.0299999999999994,4
68,25,0.0,MVNR,0.0,4
68,25,0.0,MVTR,0.0300000000000011,4
68,25,0.0,MSLR,0.0399999999999991,4
68,25,0.0,MVNCR,0.0,4
68,25,0.0,MVTCR,0.0500000000000007,4
68,25,0.0,MSLCR,0.0199999999999996,4
69,25,0.0,MVNR,0.0099999999999997,4
69,25,0.0,MVTR,0.0,4
69,25,0.0,MSLR,0.0299999999999994,4
69,25,0.0,MVNCR,0.0,4
69,25,0.0,MVTCR,0.0399999999999991,4
69,25,0.0,MSLCR,0.0199999999999996,4
70,25,0.0,MVNR,0.0,4
70,25,0.0,MVTR,0.0199999999999996,4
70,25,0.0,MSLR,0.0099999999999997,4
70,25,0.0,MVNCR,0.0,4
70,25,0.0,MVTCR,0.0299999999999994,4
70,25,0.0,MSLCR,0.0099999999999997,4
71,25,0.0,MVNR,0.0199999999999996,4
71,25,0.0,MVTR,0.0,4
71,25,0.0,MSLR,0.0099999999999997,4
71,25,0.0,MVNCR,0.0,4
71,25,0.0,MVTCR,0.0299999999999994,4
71,25,0.0,MSLCR,0.0200000000000014,4
72,25,0.0,MVNR,0.0,4
72,25,0.0,MVTR,0.0199999999999996,4
72,25,0.0,MSLR,0.0099999999999997,4
72,25,0.0,MVNCR,0.0,4
72,25,0.0,MVTCR,0.0399999999999991,4
72,25,0.0,MSLCR,0.0100000000000016,4
73,25,0.0,MVNR,0.0,4
73,25,0.0,MVTR,0.0199999999999996,4
73,25,0.0,MSLR,0.0099999999999997,4
73,25,0.0,MVNCR,0.0200000000000014,4
73,25,0.0,MVTCR,0.0299999999999994,4
73,25,0.0,MSLCR,0.0099999999999997,4
74,25,0.0,MVNR,0.0,4
74,25,0.0,MVTR,0.0200000000000014,4
74,25,0.0,MSLR,0.0299999999999994,4
74,25,0.0,MVNCR,0.0,4
74,25,0.0,MVTCR,0.0199999999999996,4
74,25,0.0,MSLCR,0.0099999999999997,4
75,25,0.0,MVNR,0.0,4
75,25,0.0,MVTR,0.0100000000000016,4
75,25,0.0,MSLR,0.0299999999999994,4
75,25,0.0,MVNCR,0.0,4
75,25,0.0,MVTCR,0.0299999999999994,4
75,25,0.0,MSLCR,0.0199999999999996,4
76,25,0.0,MVNR,0.0099999999999997,4
76,25,0.0,MVTR,0.0,4
76,25,0.0,MSLR,0.0199999999999996,4
76,25,0.0,MVNCR,0.0,4
76,25,0.0,MVTCR,0.0199999999999996,4
76,25,0.0,MSLCR,0.0200000000000014,4
77,25,0.0,MVNR,0.0,4
77,25,0.0,MVTR,0.0199999999999996,4
